date,hour,status,fallback,gap,seconds,alpha,gain,objective,selected,candidates
2025-02-01,0,Optimal,False,0.00030584976528808764,1.624838899995666,1.0,0.75,24294.543269068214,seed:0.0,44
2025-02-01,6,Optimal,False,0.0,0.4510596999898553,0.0,0.0,-1154.1174592420066,block:1:-20.0,40
2025-02-01,12,Optimal,False,0.0,0.4588973000063561,0.0,0.0,-438.9144079327541,seed:0.0,36
2025-02-01,18,Optimal,False,7.000562356485863e-05,0.19322509999619797,0.0,0.0,-277.0288212923521,seed:0.0,32
2025-02-02,0,Optimal,False,0.00040333224721121933,2.817899399989983,1.0,0.75,57557.2327872116,block:0:-20.0,44
2025-02-02,6,Optimal,False,0.0008573286143953907,0.800711499992758,0.0,0.0,-138.01676650064155,block:1:-50.0,40
2025-02-02,12,Optimal,False,0.0001517466175476174,0.6202675999957137,1.0,0.75,12.971845438891961,seed:0.0,36
2025-02-02,18,Optimal,False,0.00035128923294982796,0.2013679000083357,0.0,0.0,-85.87314342503353,seed:0.0,32
2025-02-03,0,Optimal,False,0.0003110058463003248,1.3374207000015303,0.0,0.0,59661.17058368199,block:0:-20.0,44
2025-02-03,6,Optimal,False,0.00038683371710786235,0.6555653999967035,0.0,0.0,-1689.865024841567,block:1:-20.0,40
2025-02-03,12,Optimal,False,0.0,0.5396975000039674,0.0,0.0,-641.5358010562396,seed:0.0,36
2025-02-03,18,Optimal,False,0.0006688121522545786,0.22787299999617971,0.0,0.0,88.47838314213618,seed:0.0,32
2025-02-04,0,Optimal,False,0.00023869256440248093,1.3135367999784648,0.0,0.0,61272.005160158194,block:0:-20.0,44
2025-02-04,6,Optimal,False,0.00031823512396784493,1.7133318999840412,0.0,0.0,-1454.412547153023,block:1:-50.0,40
2025-02-04,12,Optimal,False,0.0006365787919167917,0.6935764999943785,1.0,0.75,-1553.4085881007843,seed:0.0,36
2025-02-04,18,Optimal,False,0.0,0.22387170000001788,0.0,0.0,16.465835927318366,seed:0.0,32
2025-02-05,0,Optimal,False,0.00027090566736178296,1.941501099994639,0.75,0.75,57629.865151626975,policy_refine,44
2025-02-05,6,Optimal,False,0.00034488134356458906,1.284880199993495,0.5,0.75,2866.2880518223774,block:1:-50.0,40
2025-02-05,12,Optimal,False,0.00012016915577762885,1.2815655999875162,1.0,0.75,705.5026977562662,seed:0.0,36
2025-02-05,18,Optimal,False,0.00040635677486517194,0.263486500014551,0.0,0.0,-131.92200347345226,seed:0.0,32
2025-02-06,0,Optimal,False,0.00046835062914939,1.209106199996313,0.0,0.0,61015.62502753672,block:0:-20.0,44
2025-02-06,6,Optimal,False,0.0005897961672600919,1.6344202999898698,0.0,0.0,-1845.764543965391,block:1:-50.0,40
2025-02-06,12,Optimal,False,0.0005462754092366654,0.4016604000062216,0.0,0.0,-1977.7858831498215,seed:0.0,36
2025-02-06,18,Optimal,False,0.0005042906522469511,0.30344079999485984,0.0,0.0,46.66714217851771,seed:0.0,32
2025-02-07,0,Optimal,False,0.0008093538167075722,0.9655643999867607,0.0,0.0,22967.4899874733,block:1:-20.0,44
2025-02-07,6,Optimal,False,0.0,0.82419879999361,0.0,0.0,-522.2150510847902,block:1:-50.0,40
2025-02-07,12,Optimal,False,0.0,0.36857039999449626,0.0,0.0,-483.83665467942717,seed:0.0,36
2025-02-07,18,Optimal,False,0.0008107583414626702,0.20443579999846406,0.0,0.0,-90.2005560178994,seed:0.0,32
