date,interval,timestamp,purchase_kwh,adjusted_purchase_kwh,load_kwh,pv_kwh,price_yuan_per_kwh,charge_kwh,discharge_kwh,emergency_kwh,unused_kwh,soc_start_kwh,soc_end_kwh,alpha,gain,forecast_next_net_kwh
2025-02-03,65,2025-02-03 10:50:00,1203.9539166666668,1008.4885490860793,1105.5366666666666,1059.3687499999999,0.5025,833.3333333333333,0.0,0.0,128.98729908607947,2229.1200808086487,2979.1200808086487,0.0,0.0,128.4571404458133
2025-02-03,66,2025-02-03 11:00:00,1259.534311111111,1016.1787981684593,1098.6052333333334,1081.04355,0.4662,833.3333333333333,0.0,0.0,165.28378150179287,2979.1200808086487,3729.1200808086487,0.0,0.0,99.88317210273699
2025-02-03,67,2025-02-03 11:10:00,1231.904997222222,1005.188120627779,1124.6678166666668,1046.2020166666666,0.5007,833.3333333333333,0.0,0.0,93.38898729444554,3729.1200808086487,4479.120080808649,0.0,0.0,83.31912062891685
2025-02-03,68,2025-02-03 11:20:00,1174.920675,1002.4301427200073,1156.5683333333334,1028.5062500000001,0.4827,833.3333333333333,0.0,0.0,41.03472605334082,4479.120080808649,5229.120080808649,0.0,0.0,72.26281299804906
2025-02-03,69,2025-02-03 11:30:00,1149.6888777777779,1013.6513166666664,1151.0741333333333,1095.2074,0.4785,833.3333333333333,0.0,0.0,124.45125000000007,5229.120080808649,5979.120080808649,0.0,0.0,35.87651109621311
2025-02-03,70,2025-02-03 11:40:00,1102.0129472222218,962.4937274685516,1092.8585333333333,1115.0872333333334,0.4662,833.3333333333333,0.0,0.0,151.38909413521833,5979.120080808649,6729.120080808649,0.0,0.0,-34.2322724221992
2025-02-03,71,2025-02-03 11:50:00,1057.9474500000001,878.1917041085875,1029.86,1065.4875,0.4432,833.3333333333333,0.0,0.0,80.48587077525417,6729.120080808649,7479.120080808649,0.0,0.0,-9.661523656424986
2025-02-03,72,2025-02-03 12:00:00,998.0103416666667,837.6482610893402,1033.50395,1051.1764666666666,0.4411,833.3333333333333,0.0,0.0,21.987444422673434,7479.120080808649,8229.120080808649,0.0,0.0,-1.8519032165818752
2025-02-03,73,2025-02-03 12:10:00,998.6920416666665,872.9268147460086,1047.28925,1052.4270166666668,0.4551,833.3333333333333,0.0,0.0,44.731248079342095,8229.120080808649,8979.120080808649,0.0,0.0,-16.25815359493225
2025-02-03,74,2025-02-03 12:20:00,1016.3026166666664,824.3319209890224,1034.2983333333334,1027.65625,0.4463,817.6898376556892,0.0,2.2737367544323206e-13,0.0,8979.120080808649,9715.040934698769,0.0,0.0,-22.558843568648356
