variant,date,total_fee,initial_plan_fee,increase_fee,refund,cancel_penalty,emergency_fee,emergency_kwh,unused_kwh,start_soc,end_soc,fallbacks
q2_neutral,2025-02-13,55046.44651230106,54754.8530203272,0.0,0.0,0.0,291.5934919738877,140.34406349693316,4598.911647077167,3244.587505065152,2573.823163417076,0
q2_neutral,2025-02-14,16919.17829209097,14184.228995925878,0.0,0.0,0.0,2734.949296165099,648.8084875992172,2183.5485375634994,2573.823163417076,1304.2953851234563,0
q2_neutral,2025-02-15,17941.249683715745,15036.70787868572,0.0,0.0,0.0,2904.541805030032,708.351862000011,2698.27339027779,1304.2953851234563,1200.0,0
q2_neutral,2025-02-16,61380.19708231735,53178.70300437704,0.0,0.0,0.0,8201.494077940317,1401.597258835609,80.54503554160489,1200.0,1285.453549891975,0
q2_neutral,2025-02-17,54080.81943973098,54080.81943973093,0.0,0.0,0.0,4.813152520988239e-11,1.0913270287460364e-11,4097.968042601304,1285.453549891975,1751.6863282319164,0
q2_neutral,2025-02-18,53006.576580335495,52959.97405934167,0.0,0.0,0.0,46.60252099380739,24.511859722231847,1860.337170877439,1751.6863282319164,3077.22512872795,0
q2_neutral,2025-02-19,56105.82537620412,50997.98887721443,0.0,0.0,0.0,5107.83649898969,1043.2333903400345,1640.800602579409,3077.22512872795,1200.0,0
q2_neutral,2025-02-20,52676.43417663629,52033.86669141232,0.0,0.0,0.0,642.5674852239639,121.64333477382333,1572.9960058365114,1200.0,2118.151754426812,0
q2_neutral,2025-02-21,14375.684766079768,14375.684766079732,0.0,0.0,0.0,3.671860127063553e-11,1.3180789792954783e-11,5256.49398818392,2118.151754426812,1521.004744487415,0
q2_neutral,2025-02-22,15063.258919582777,14781.743196810774,0.0,0.0,0.0,281.5157227719987,55.242451153178045,3136.979968055568,1521.004744487415,1544.601492453703,0
q2_neutral,2025-02-23,51312.20393472435,51270.59131083617,0.0,0.0,0.0,41.61262388818589,19.664489791682275,160.64756190478323,1544.601492453703,1959.2430409959368,0
q2_neutral,2025-02-24,50669.96399584014,50669.96399584011,0.0,0.0,0.0,4.8756777504266325e-11,1.304423236092589e-11,4012.0003021625967,1959.2430409959368,1620.3306512844977,0
q2_neutral,2025-02-25,50285.23944688848,50209.89989068844,0.0,0.0,0.0,75.33955620005999,14.680350000015702,5393.392440776594,1620.3306512844977,2981.3878191905637,0
q2_neutral,2025-02-26,49400.590909777486,48218.45640434059,0.0,0.0,0.0,1182.1345054368965,187.2865596234482,933.1916698798716,2981.3878191905637,1737.2382849845674,0
q2_neutral,2025-02-27,52224.17319672497,46342.34426198188,0.0,0.0,0.0,5881.828934743084,1085.3233327946575,1067.6057063786202,1737.2382849845674,2679.162283542116,0
q2_neutral,2025-02-28,13450.649310506877,13450.64931050684,0.0,0.0,0.0,3.6205953346524215e-11,1.0635936575909e-11,6620.695867781223,2679.162283542116,1504.258386447321,0
q2_neutral,2025-03-01,14185.291138283232,13837.773091397516,0.0,0.0,0.0,347.51804688571417,87.04986102977507,6523.407730791513,1504.258386447321,1357.806001593296,0
q2_neutral,2025-03-02,64107.77439135561,49760.90684051263,0.0,0.0,0.0,14346.867550842962,2560.8846831011942,1061.5259293381407,1357.806001593296,1941.9373012395624,0
q2_neutral,2025-03-03,51890.10108692762,51085.75052056536,0.0,0.0,0.0,804.350566362265,209.89196028727656,642.571945149839,1941.9373012395624,1415.5919854421204,0
q2_neutral,2025-03-04,53280.26762213266,53280.26762213261,0.0,0.0,0.0,4.838504047421921e-11,1.139588423626492e-11,5987.257099820359,1415.5919854421204,2466.561281357965,0
q2_neutral,2025-03-05,50659.58688637967,50659.58688637962,0.0,0.0,0.0,5.666524166558773e-11,1.3293477429954235e-11,8243.109604988322,2466.561281357965,1902.0681710251345,0
q2_neutral,2025-03-06,49471.15061445696,49406.7592533542,0.0,0.0,0.0,64.39136110275408,33.53716724100063,5701.4078780024265,1902.0681710251345,2264.858723993101,0
q2_neutral,2025-03-07,13031.193565678152,13031.19356567813,0.0,0.0,0.0,2.7532280455488945e-11,9.71311919784057e-12,7773.43655563547,2264.858723993101,1594.610246340878,0
q2_neutral,2025-03-08,15783.972166013824,12561.110496469217,0.0,0.0,0.0,3222.8616695446044,1183.8597520138972,8746.107483333342,1594.610246340878,1695.4415647670498,0
q2_neutral,2025-03-09,44678.36417895966,44550.44370279991,0.0,0.0,0.0,127.92047615976507,64.491847222234,1726.9767181613158,1695.4415647670498,1918.059665742573,0
q2_neutral,2025-03-10,59135.82618926592,45258.02473947879,0.0,0.0,0.0,13877.80144978713,2425.112245504836,14.094606944460292,1918.059665742573,1297.925660648147,0
q2_neutral,2025-03-11,45878.17185294997,45152.8444454296,0.0,0.0,0.0,725.3274075203749,215.5329283627969,2308.7632410218143,1297.925660648147,1494.137718287037,0
q2_neutral,2025-03-12,45487.55746539668,44926.18741723212,0.0,0.0,0.0,561.3700481645888,259.6968110708662,4604.243856039824,1494.137718287037,1248.6101677385489,0
q2_neutral,2025-03-13,53566.333054063216,45252.65299620815,0.0,0.0,0.0,8313.680057855094,1556.2355069713694,0.3113583333446472,1248.6101677385489,1306.5905984876551,0
q2_neutral,2025-03-14,12644.46320034078,12382.115116336834,0.0,0.0,0.0,262.34808400394434,135.75907022222853,10932.978182777268,1306.5905984876551,1522.4509170069464,0
q2_neutral,2025-03-15,13545.787477364023,12748.987127276325,0.0,0.0,0.0,796.8003500877046,304.82577941667336,6980.456073986288,1522.4509170069464,1200.0,0
q2_neutral,2025-03-16,45741.48673995442,45229.191016083685,0.0,0.0,0.0,512.295723870735,242.9740600288997,3549.339345919967,1200.0,1863.6933559722256,0
q2_neutral,2025-03-17,43997.62521406602,42989.86812243874,0.0,0.0,0.0,1007.7570916273028,484.8694168093782,7744.448679093264,1863.6933559722256,2178.499418865185,0
q2_neutral,2025-03-18,42981.37693954854,42678.33207490613,0.0,0.0,0.0,303.04486464242086,140.23433765279293,2386.065850441197,2178.499418865185,2633.120090522528,0
q2_neutral,2025-03-19,42043.92468750079,41189.8243646654,0.0,0.0,0.0,854.1003228353894,367.4555177352569,3118.371915379569,2633.120090522528,2235.852141866162,0
q2_neutral,2025-03-20,42579.76769849448,42579.76769849442,0.0,0.0,0.0,5.1864359140729735e-11,1.4030887562910266e-11,470.75965015309447,2235.852141866162,1731.2502347541986,0
q2_neutral,2025-03-21,12378.363771040318,12030.02569179553,0.0,0.0,0.0,348.33807924478424,140.21389936111504,14633.627287962112,1731.2502347541986,1213.5442626873444,0
q2_neutral,2025-03-22,12501.218998492284,12501.21899849226,0.0,0.0,0.0,2.626562189966819e-11,8.557599073810707e-12,10729.589351646102,1213.5442626873444,2234.8493977109724,0
q2_neutral,2025-03-23,41132.39596142477,40795.17758473715,0.0,0.0,0.0,337.2183766876474,155.62959111369398,3994.507563447606,2234.8493977109724,1480.9622730389185,0
q2_neutral,2025-03-24,40458.21990653816,40225.78192960477,0.0,0.0,0.0,232.43797693338848,105.9433916666808,3259.4297157541373,1480.9622730389185,1571.6721551628852,0
q2_neutral,2025-03-25,41037.69427126562,40279.57896473493,0.0,0.0,0.0,758.1153065306945,317.0568014305709,495.1889789780663,1571.6721551628852,1318.318219017372,0
q2_neutral,2025-03-26,39979.06033884368,39833.79152736378,0.0,0.0,0.0,145.26881147989252,70.54450694445272,5511.19084382489,1318.318219017372,1587.2979345370372,0
q2_neutral,2025-03-27,39740.15661570005,39513.97654203125,0.0,0.0,0.0,226.18007366881176,104.30404583334776,1832.3644688957693,1587.2979345370372,1500.2501705133293,0
q2_neutral,2025-03-28,11972.711798316195,11972.711798316175,0.0,0.0,0.0,1.9841007059540062e-11,7.081335517966636e-12,15285.725391383758,1500.2501705133293,1871.8647377524712,0
q2_neutral,2025-03-29,11958.884406431158,11603.750344507818,0.0,0.0,0.0,355.13406192333895,79.47245804167449,18576.247507561737,1871.8647377524712,1341.6446520987647,0
q2_neutral,2025-03-30,38113.40464750138,38063.34033111934,0.0,0.0,0.0,50.06431638205791,22.510933625016385,2713.437402607807,1341.6446520987647,1995.3577470370367,0
