variant,total_fee,initial_plan_fee,increase_fee,refund,cancel_penalty,emergency_fee,emergency_kwh,unused_kwh,fallbacks,days,intervals,mean_daily_fee,max_daily_fee,realized_daily_cvar90,end_soc,complete
q2_neutral,14910059.887562152,13985491.485605992,0.0,0.0,0.0,924568.4019561642,205684.07152331687,1866767.2811308093,26.0,334,48096,44640.89786695255,118366.35122751366,81134.65776658498,1200.0,True
q2_cvar,14784223.473834712,14259553.744439276,0.0,0.0,0.0,524669.7293954355,102183.60842476758,2384362.0098999087,2.0,334,48096,44264.142137229675,108530.7012277908,78224.5104468944,1200.0,True
q3_neutral,14587580.887312826,14441358.37836457,431262.6216397786,1141545.8366530335,570772.9183265168,285732.80563499586,85589.38309552667,1408989.6995671163,38.0,334,48096,43675.39187818211,87843.67520096288,75036.99016323082,1200.0,True
q3_cvar,14712440.572335597,14711386.888564995,477745.18111263687,1227370.0729353982,613685.0364676991,136993.53912566538,41743.7001363391,1582445.5862550428,27.0,334,48096,44049.22327046586,93603.80830788515,80130.17597730074,1200.0,True
