date,interval,load_kwh,pv_kwh,price,price_forecast_0,q0,q,charged_units,charge_kwh,discharge_kwh,emergency_kwh,unused_kwh,soc_start_kwh,soc_end_kwh
2025-03-20,0,549.8448166666667,0.0,0.4487,0.4376,614.7978972222222,614.7978972222222,614.7978972222222,64.95308055555546,0.0,0.0,5.684341886080803e-14,2121.012150906004,2179.4699234060035
2025-03-20,1,570.3135,0.0,0.4373,0.4576,596.8295805555556,596.8295805555556,596.8295805555556,26.516080555555465,0.0,0.0,1.5276668818842157e-13,2179.4699234060035,2203.3343959060035
2025-03-20,2,613.8516666666667,0.0,0.4311,0.4673,58.25852322221965,58.25852322221965,58.25852322221965,0.0,555.5931434444469,1.1368683772161605e-13,0.0,2203.3343959060035,1586.008680967729
2025-03-20,3,579.4561666666667,0.0,0.4344,0.4657,602.2047138888888,602.2047138888888,602.2047138888888,22.74854722222219,0.0,8.881784197001252e-14,0.0,1586.008680967729,1606.482373467729
2025-03-20,4,550.4449166666667,0.0,0.4238,0.4651,599.9660166666667,599.9660166666667,599.9660166666667,49.52109999999998,0.0,0.0,6.394884621840903e-14,1606.482373467729,1651.051363467729
2025-03-20,5,571.1566666666666,0.0,0.4296,0.452,580.3804333333334,580.3804333333334,580.3804333333334,9.22376666666676,0.0,2.4868995751603507e-14,0.0,1651.051363467729,1659.3527534677291
2025-03-20,6,601.5890499999999,0.0,0.4989,0.4051,1383.3654027777775,1383.3654027777775,1383.3654027777775,781.7763527777778,0.0,0.0,0.0,1659.3527534677291,2362.951470967729
2025-03-20,7,611.48375,0.0,0.5083,0.3862,1383.101136111111,1383.101136111111,1383.101136111111,771.617386111111,0.0,1.1368683772161605e-13,0.0,2362.951470967729,3057.407118467729
2025-03-20,8,598.2166666666667,0.0,0.4468,0.406,1370.542961111111,1370.542961111111,1370.542961111111,772.3262944444443,0.0,0.0,0.0,3057.407118467729,3752.500783467729
2025-03-20,9,583.9359499999999,0.0,0.4284,0.4177,1350.8168499999997,1350.8168499999997,1350.8168499999997,766.8808999999995,0.0,0.0,2.273736754432321e-13,3752.500783467729,4442.6935934677285
2025-03-20,10,590.99505,0.0,0.4436,0.4309,566.3764333333334,566.3764333333334,566.3764333333334,0.0,24.61861666666655,8.881784197001252e-14,0.0,4442.6935934677285,4415.33957494921
2025-03-20,11,598.4433333333333,0.0,0.454,0.4209,1396.5182694444445,1396.5182694444445,1396.5182694444445,798.0749361111106,0.0,0.0,4.547473508864641e-13,4415.33957494921,5133.60701744921
2025-03-20,12,565.9836166666666,0.0,0.4404,0.3604,1399.6253472222222,1399.6253472222222,1399.6253472222222,833.3333333333333,0.0,0.0,0.308397222222311,5133.60701744921,5883.60701744921
2025-03-20,13,546.1207666666667,0.0,0.4405,0.3984,1388.0094583333334,1388.0094583333334,1388.0094583333334,833.3333333333333,0.0,0.0,8.555358333333515,5883.60701744921,6633.60701744921
2025-03-20,14,565.7133333333334,0.0,0.4545,0.4933,581.2137250000001,581.2137250000001,581.2137250000001,15.500391666666676,0.0,0.0,2.4868995751603507e-14,6633.60701744921,6647.55736994921
2025-03-20,15,597.9265666666666,0.0,0.4389,0.4528,609.432525,609.432525,609.432525,11.505958333333789,0.0,3.783640067922534e-13,0.0,6647.55736994921,6657.91273244921
2025-03-20,16,600.9544666666667,0.0,0.3868,0.4151,1428.7328875,1428.7328875,1428.7328875,827.7784208333337,0.0,3.410605131648481e-13,0.0,6657.91273244921,7402.91331119921
2025-03-20,17,587.1316666666667,0.0,0.3634,0.4276,628.2710472222223,628.2710472222223,628.2710472222223,41.13938055555587,0.0,2.771116669464391e-13,0.0,7402.91331119921,7439.938753699211
2025-03-20,18,605.2103000000001,0.0,0.4416,0.4057,1409.8675875,1409.8675875,1409.8675875,804.6572874999997,0.0,0.0,1.1368683772161605e-13,7439.938753699211,8164.130312449211
2025-03-20,19,621.8923833333333,0.0,0.4839,0.4354,603.6932819444444,603.6932819444444,603.6932819444444,0.0,18.199101388888906,4.618527782440651e-14,0.0,8164.130312449211,8143.909088683778
2025-03-20,20,620.1683333333334,0.0,0.4574,0.4987,0.0,0.0,0.0,0.0,620.1683333333332,2.273736754432321e-13,0.0,8143.909088683778,7454.833162757853
2025-03-20,21,616.6230833333333,0.0,0.4575,0.4766,597.8377513888888,597.8377513888888,597.8377513888888,0.0,18.78533194444481,0.0,3.410605131648481e-13,7454.833162757853,7433.96057170847
2025-03-20,22,612.46375,0.0,0.4629,0.4358,614.8459486111111,614.8459486111111,614.8459486111111,2.382198611111461,0.0,3.534950110406499e-13,0.0,7433.96057170847,7436.10455045847
2025-03-20,23,603.93,0.0,0.4426,0.4425,573.3247319444445,573.3247319444445,573.3247319444445,0.0,30.60526805555528,2.0250467969162853e-13,0.0,7436.10455045847,7402.098697063408
2025-03-20,24,589.79495,0.0003166666666666,0.4023,0.4889,574.7467986111111,574.7467986111111,574.7467986111111,0.0,15.047834722221795,4.085620730620576e-13,0.0,7402.098697063408,7385.378880705384
2025-03-20,25,581.4640499999999,0.0,0.4075,0.4731,631.3280833333333,631.3280833333333,631.3280833333333,49.86403333333328,0.0,0.0,1.1368683772161605e-13,7385.378880705384,7430.256510705384
2025-03-20,26,585.585,0.0,0.452,0.4194,1420.2676652777775,1420.2676652777775,1420.2676652777775,833.3333333333333,0.0,0.0,1.3493319444444296,7430.256510705384,8180.256510705384
2025-03-20,27,599.72965,0.0045166666666666,0.4646,0.4455,843.8149139281713,843.8149139281713,843.8149139281713,244.0897805948377,0.0,0.0,3.1263880373444413e-13,8180.256510705384,8399.937313240738
2025-03-20,28,616.7393166666667,0.0,0.4561,0.4488,607.7979333333333,607.7979333333333,607.7979333333333,0.0,8.94138333333376,0.0,3.410605131648481e-13,8399.937313240738,8390.002442870367
2025-03-20,29,625.595,0.0,0.4379,0.4042,1449.0366666666666,1449.0366666666666,1449.0366666666666,823.4416666666665,0.0,0.0,1.1368683772161605e-13,8390.002442870367,9131.099942870367
2025-03-20,30,619.49685,0.0629333333333333,0.4177,0.4009,1406.4420333333333,1406.4420333333333,1406.4420333333333,787.008116666667,0.0,3.410605131648481e-13,0.0,9131.099942870367,9839.407247870367
2025-03-20,31,617.8444000000001,0.0,0.464,0.4472,644.1668027777777,644.1668027777777,644.1668027777777,26.32240277777681,0.0,0.0,7.851497230149107e-13,9839.407247870367,9863.097410370368
2025-03-20,32,607.115,0.0,0.4802,0.471,644.3273374999999,644.3273374999999,644.3273374999999,37.21233750000061,0.0,7.318590178329032e-13,0.0,9863.097410370368,9896.588514120367
2025-03-20,33,576.3066333333334,0.8765666666666667,0.352,0.4341,625.4399305555555,625.4399305555555,625.4399305555555,50.00986388888931,0.0,4.689582056016661e-13,0.0,9896.588514120367,9941.597391620367
2025-03-20,34,671.4631166666667,0.0,0.5794,0.6459,683.4790166666667,683.4790166666667,683.4790166666667,12.01589999999972,0.0,0.0,2.664535259100376e-13,9941.597391620367,9952.411701620367
2025-03-20,35,827.015,0.0,1.0185,0.9879,48.68459166666662,48.68459166666662,48.68459166666662,0.0,778.3304083333327,6.821210263296962e-13,0.0,9952.411701620367,9087.600136805551
2025-03-20,36,817.5199666666667,25.57003333333333,0.995,1.0059,22.47372361111138,20.9580920791052,21.71590784510829,0.0,770.9918412542278,4.547473508864641e-13,0.0,9087.600136805551,8230.942535411967
2025-03-20,37,776.8039833333333,66.84066666666666,0.8932,0.9513,0.0,0.0,0.0,0.0,709.9633166666666,1.1368683772161605e-13,0.0,8230.942535411967,7442.094405782337
2025-03-20,38,783.9583333333334,112.5875,0.9281,0.9586,0.0,0.0,0.0,0.0,671.3708333333337,0.0,3.410605131648481e-13,7442.094405782337,6696.126813189744
2025-03-20,39,787.8168000000001,158.77193333333335,0.9231,0.9084,0.0,0.0,0.0,0.0,629.0448666666671,0.0,3.410605131648481e-13,6696.126813189744,5997.188072449003
2025-03-20,40,803.24555,217.08963333333332,0.902,0.8617,509.2111138888889,121.7071637475508,315.45913881821986,0.0,464.44875291911575,5.684341886080803e-14,0.0,5997.188072449003,5481.133902538874
2025-03-20,41,813.3883333333333,282.20625,0.8707,0.8496,109.9745142371602,109.9745142371602,109.9745142371602,0.0,421.2075690961729,2.842170943040401e-13,0.0,5481.133902538874,5013.125492432016
2025-03-20,42,781.5626833333334,334.98718333333335,0.7992,0.8373,435.5467833333334,435.5467833333334,435.5467833333334,0.0,11.028716666666517,1.8118839761882557e-13,0.0,5013.125492432016,5000.871362802386
2025-03-20,43,785.5607666666666,384.31915,0.7957,0.8344,378.70083333333326,378.70083333333326,378.70083333333326,0.0,22.540783333333003,2.486899575160351e-13,0.0,5000.871362802386,4975.826047987572
2025-03-20,44,804.5333333333333,434.95625,0.8046,0.7859,341.4300971517322,341.4300971517322,341.4300971517322,0.0,28.146986181600823,2.273736754432321e-13,0.0,4975.826047987572,4944.551618896904
2025-03-20,45,763.026,482.3358,0.7001,0.669,1128.666498611111,1106.305261891891,1117.485880251501,825.6150618918915,0.0,4.547473508864641e-13,0.0,4944.551618896904,5687.605174599607
2025-03-20,46,864.5061333333333,529.9280666666667,0.8467,0.8694,0.0,0.0,0.0,0.0,334.57806666666664,0.0,5.684341886080803e-14,5687.605174599607,5315.851767192199
2025-03-20,47,1067.5983333333334,579.4187499999999,1.1788,1.2449,0.0,0.0,0.0,0.0,488.1795833333336,0.0,1.1368683772161605e-13,5315.851767192199,4773.43000793294
2025-03-20,48,1109.6747666666668,626.8709166666666,1.2356,1.2351,0.0,0.0,0.0,0.0,482.8038500000002,0.0,5.684341886080803e-14,4773.43000793294,4236.981285710717
2025-03-20,49,1101.1000166666663,662.7286166666667,1.1876,1.1203,0.0,0.0,0.0,0.0,438.3713999999998,5.684341886080803e-14,0.0,4236.981285710717,3749.901952377384
2025-03-20,50,1114.545,703.3874999999999,1.1569,1.1042,0.0,0.0,0.0,0.0,411.1575,1.1368683772161605e-13,0.0,3749.901952377384,3293.0602857107174
2025-03-20,51,1108.296,775.6238166666667,1.0869,1.1076,0.0,0.0,0.0,0.0,332.6721833333335,0.0,1.7053025658242404e-13,3293.0602857107174,2923.424526451458
2025-03-20,52,1117.5889166666666,839.5837833333334,1.0527,1.0956,0.0,0.0,0.0,0.0,278.00513333333305,1.7053025658242404e-13,0.0,2923.424526451458,2614.5299338588657
2025-03-20,53,1126.3016666666667,863.4812499999999,1.068,1.0759,0.0,0.0,0.0,0.0,262.8204166666668,0.0,0.0,2614.5299338588657,2322.5072486736804
2025-03-20,54,1082.3667333333333,861.0829666666667,1.0672,1.0742,0.0,0.0,0.0,0.0,221.2837666666668,0.0,1.9895196601282805e-13,2322.5072486736804,2076.6363968218284
2025-03-20,55,1072.7398666666666,922.2215,1.0563,1.0739,0.0,0.0,0.0,0.0,150.51836666666665,0.0,8.526512829121202e-14,2076.6363968218284,1909.3937671921988
2025-03-20,56,1095.1416666666669,1017.95625,1.0344,1.0653,0.0,0.0,0.0,0.0,77.18541666666651,7.105427357601003e-14,0.0,1909.3937671921988,1823.6321931181249
