date,interval,load_kwh,pv_kwh,price,price_forecast_0,q0,q,charged_units,charge_kwh,discharge_kwh,emergency_kwh,unused_kwh,soc_start_kwh,soc_end_kwh,variant
2025-03-20,0,549.8448166666667,0.0,0.4487,0.4376,610.4862444444448,610.4862444444448,610.4862444444448,60.64142777777811,0.0,4.973799150320701e-14,0.0,2903.6869027493926,2958.264187749393,q2_cvar
2025-03-20,1,570.3135,0.0,0.4373,0.4576,606.3753444444445,606.3753444444445,606.3753444444445,36.06184444444453,0.0,0.0,1.4210854715202004e-14,2958.264187749393,2990.719847749393,q2_cvar
2025-03-20,2,613.8516666666667,0.0,0.4311,0.4673,577.2550850434175,577.2550850434175,577.2550850434175,0.0,36.59658162324918,4.263256414560601e-14,0.0,2990.719847749393,2950.056979279116,q2_cvar
2025-03-20,3,579.4561666666667,0.0,0.4344,0.4657,583.3937541666667,583.3937541666667,583.3937541666667,3.937587500000114,0.0,1.6431300764452317e-13,0.0,2950.056979279116,2953.6008080291163,q2_cvar
2025-03-20,4,550.4449166666667,0.0,0.4238,0.4651,600.8658736111112,600.8658736111112,600.8658736111112,50.4209569444447,0.0,2.273736754432321e-13,0.0,2953.6008080291163,2998.9796692791165,q2_cvar
2025-03-20,5,571.1566666666666,0.0,0.4296,0.452,555.4504333333334,555.4504333333334,555.4504333333334,0.0,15.706233333333104,1.1368683772161605e-13,0.0,2998.9796692791165,2981.5282989087464,q2_cvar
2025-03-20,6,601.5890499999999,0.0,0.4989,0.4051,1361.6042194444444,1361.6042194444444,1361.6042194444444,760.0151694444443,0.0,0.0,2.273736754432321e-13,2981.5282989087464,3665.541951408746,q2_cvar
2025-03-20,7,611.48375,0.0,0.5083,0.3862,1356.443536111111,1356.443536111111,1356.443536111111,744.9597861111114,0.0,4.547473508864641e-13,0.0,3665.541951408746,4336.005758908746,q2_cvar
2025-03-20,8,598.2166666666667,0.0,0.4468,0.406,1353.9782694444443,1353.9782694444443,1353.9782694444443,755.761602777778,0.0,3.410605131648481e-13,0.0,4336.005758908746,5016.191201408747,q2_cvar
2025-03-20,9,583.9359499999999,0.0,0.4284,0.4177,1357.902095833333,1357.902095833333,1357.902095833333,773.9661458333335,0.0,3.410605131648481e-13,0.0,5016.191201408747,5712.760732658747,q2_cvar
2025-03-20,10,590.99505,0.0,0.4436,0.4309,558.1098125,558.1098125,558.1098125,0.0,32.885237499999675,3.410605131648481e-13,0.0,5712.760732658747,5676.221579880969,q2_cvar
2025-03-20,11,598.4433333333333,0.0,0.454,0.4209,594.4372124999999,594.4372124999999,594.4372124999999,0.0,4.00612083333308,3.179678742526449e-13,0.0,5676.221579880969,5671.770334510599,q2_cvar
2025-03-20,12,565.9836166666666,0.0,0.4404,0.3604,1392.579548611111,1392.579548611111,1392.579548611111,826.5959319444441,0.0,0.0,2.273736754432321e-13,5671.770334510599,6415.706673260599,q2_cvar
2025-03-20,13,546.1207666666667,0.0,0.4405,0.3984,1395.6329708333333,1395.6329708333333,1395.6329708333333,833.3333333333333,0.0,0.0,16.17887083333335,6415.706673260599,7165.706673260599,q2_cvar
2025-03-20,14,565.7133333333334,0.0,0.4545,0.4933,614.4870875000001,614.4870875000001,614.4870875000001,48.77375416666634,0.0,0.0,4.334310688136611e-13,7165.706673260599,7209.603052010599,q2_cvar
2025-03-20,15,597.9265666666666,0.0,0.4389,0.4528,597.6482375,597.6482375,597.6482375,0.0,0.2783291666663899,2.0461410343841638e-13,0.0,7209.603052010599,7209.293797380969,q2_cvar
2025-03-20,16,600.9544666666667,0.0,0.3868,0.4151,1428.7328875,1428.7328875,1428.7328875,827.7784208333337,0.0,3.410605131648481e-13,0.0,7209.293797380969,7954.29437613097,q2_cvar
2025-03-20,17,587.1316666666667,0.0,0.3634,0.4276,613.9910486111112,613.9910486111112,613.9910486111112,26.85938194444437,0.0,0.0,1.5276668818842157e-13,7954.29437613097,7978.46781988097,q2_cvar
2025-03-20,18,605.2103000000001,0.0,0.4416,0.4057,1376.99386083401,1376.99386083401,1376.99386083401,771.7835608340091,0.0,0.0,9.094947017729282e-13,7978.46781988097,8673.073024631578,q2_cvar
2025-03-20,19,621.8923833333333,0.0,0.4839,0.4354,517.0808819444445,517.0808819444445,517.0808819444445,0.0,104.8115013888888,1.4210854715202004e-14,0.0,8673.073024631578,8556.615800866146,q2_cvar
2025-03-20,20,620.1683333333334,0.0,0.4574,0.4987,0.0,0.0,0.0,0.0,620.1683333333332,2.273736754432321e-13,0.0,8556.615800866146,7867.53987494022,q2_cvar
2025-03-20,21,616.6230833333333,0.0,0.4575,0.4766,576.6901166666667,576.6901166666667,576.6901166666667,0.0,39.93296666666647,1.5631940186722204e-13,0.0,7867.53987494022,7823.1699119772575,q2_cvar
2025-03-20,22,612.46375,0.0,0.4629,0.4358,585.07815,585.07815,585.07815,0.0,27.38560000000025,0.0,2.9487523534044163e-13,7823.1699119772575,7792.741467532813,q2_cvar
2025-03-20,23,603.93,0.0,0.4426,0.4425,557.9616666666668,557.9616666666668,557.9616666666668,0.0,45.96833333333316,0.0,2.131628207280301e-14,7792.741467532813,7741.665541606887,q2_cvar
2025-03-20,24,589.79495,0.0003166666666666,0.4023,0.4889,471.696825807045,471.696825807045,471.696825807045,0.0,118.09780752628812,1.8474111129762605e-13,0.0,7741.665541606887,7610.445755466567,q2_cvar
2025-03-20,25,581.4640499999999,0.0,0.4075,0.4731,586.653498611111,586.653498611111,586.653498611111,5.189448611110694,0.0,0.0,3.668176873361517e-13,7610.445755466567,7615.1162592165665,q2_cvar
2025-03-20,26,585.585,0.0,0.452,0.4194,1371.8505833333334,1371.8505833333334,1371.8505833333334,786.2655833333328,0.0,0.0,5.684341886080801e-13,7615.1162592165665,8322.755284216566,q2_cvar
2025-03-20,27,599.72965,0.0045166666666666,0.4646,0.4455,655.3456555555554,655.3456555555554,655.3456555555554,55.62052222222216,0.0,1.4921397450962106e-13,0.0,8322.755284216566,8372.813754216566,q2_cvar
2025-03-20,28,616.7393166666667,0.0,0.4561,0.4488,653.0504555555556,653.0504555555556,653.0504555555556,36.31113888888851,0.0,0.0,3.694822225952521e-13,8372.813754216566,8405.493779216566,q2_cvar
2025-03-20,29,625.595,0.0,0.4379,0.4042,1417.922948611111,1417.922948611111,1417.922948611111,792.3279486111117,0.0,6.821210263296962e-13,0.0,8405.493779216566,9118.588932966566,q2_cvar
