date,evaluation,start_soc_kwh,end_soc_kwh,solver_status,planner_fallback,solver_gap,solve_seconds,controller_seconds,purchase_kwh,charge_kwh,discharge_kwh,emergency_kwh,unused_kwh,plan_cost_yuan,emergency_cost_yuan,dispatch_fallback,total_cost_yuan
2025-02-01,True,1200.0,9703.782684320104,Optimal,False,0.0,0.08084770001005381,0.03901400000904687,54788.96905281111,27586.073624259254,14691.315219761906,175.19031830001254,7691.225033280436,27815.7742611205,523.7818937364596,0,28339.55615485696
2025-02-02,True,9703.782684320104,9502.839761386243,Optimal,False,0.0,0.0672818000020925,0.039562000005389564,91588.84719416813,21393.7322140829,17509.771724047623,1.1326051208015997e-11,9348.608754132872,58113.410042566524,4.3204892108406055e-11,0,58113.41004256657
2025-02-03,True,9502.839761386243,9326.37321634127,Optimal,False,0.0,0.06565530000079889,0.039404200011631474,90694.67016811288,21833.975827375067,17844.34031071428,1.2303491558895985e-11,6488.118151452107,57358.78690864848,4.9873253971099986e-11,0,57358.78690864853
2025-02-04,True,9326.37321634127,9478.966192843918,Optimal,False,0.0,0.07069330000376794,0.04054079999332316,90786.9225580335,23678.122469482656,19041.94552142857,1.4939161019356106e-11,4955.881659979436,57352.74012124487,5.5156817779788984e-11,0,57352.740121244926
2025-02-05,True,9478.966192843918,9457.149270013226,Optimal,False,0.0,0.07329309999477118,0.03896599999279715,90284.75437397708,23130.872624740343,18755.642056587305,18.633738095249882,5179.7305605859465,57107.26596258071,84.62453464825725,0,57191.89049722896
2025-02-06,True,9457.149270013226,9370.712395793653,Optimal,False,0.0,0.0760456999996677,0.04094979999354109,90859.41036484127,22237.132127998233,18089.870210476187,12.609090476200812,6453.700321128759,57580.58133129597,73.65600201670914,0,57654.23733331268
2025-02-07,True,9370.712395793653,9218.075419805993,Optimal,False,0.0,0.07714039999700617,0.039752900003804825,44029.96062767213,18566.580045002935,15176.303114841274,364.261761128582,9198.265791972384,22838.451137798973,1039.6030662609792,0,23878.054204059954
2025-02-08,True,9218.075419805993,9431.44148624779,Optimal,False,0.0,0.09816949999367353,0.03827840001031291,43173.6328162767,18014.936350524204,14400.068984126989,513.8281666666742,8495.430899879497,22385.342130860317,1466.4655876666955,0,23851.807718527012
2025-02-09,True,9431.44148624779,9148.879535632277,Optimal,False,0.0001647207567022892,0.04145479999715462,0.04010510000807699,88219.26126766119,22069.328516070946,18130.46185357143,74.30614880953773,4799.284787304539,55729.3760306252,296.8530644940936,0,56026.22909511929
2025-02-10,True,9148.879535632277,9048.292863256609,Optimal,False,0.0006149129080140188,0.041154399994411506,0.040326300004380755,88645.65804221666,19196.395320432097,15639.6082146881,1.1601386518123036e-11,10762.233353139349,55961.84590546922,3.808423176820952e-11,0,55961.84590546926
2025-02-11,True,9048.292863256609,8961.92835354497,Optimal,False,0.0,0.04085769999073818,0.0400552999926731,88133.52615493535,21214.762636769552,17261.68579452381,1.156497120291533e-11,8959.852179356278,55344.60696963867,4.043844992196455e-11,0,55344.60696963871
2025-02-12,True,8961.92835354497,9048.266767306875,Optimal,False,0.0,0.07923590000427794,0.039331999985734,87205.94141481776,21452.11579806585,17298.509224047626,9.705125592063268e-12,7785.598707466207,54682.75617379519,3.235717427330087e-11,0,54682.75617379522
2025-02-13,True,9048.266767306875,7798.242903269401,Optimal,False,0.0,0.10874969999713358,0.0404809000028763,81248.83062437341,18746.697116789634,16309.846142233331,351.06119185398234,7833.561825004428,50897.16633711743,827.1632633691182,0,51724.32960048655
2025-02-14,True,7798.242903269401,7503.187198361111,Optimal,False,0.0,0.1406452000082936,0.04251270000531804,35578.4036153591,18569.207227982555,15306.607989083332,2.110657186522272,2516.113216979733,18530.39685660143,12.902447381179066,0,18543.29930398261
2025-02-15,True,7503.187198361111,8419.19853755247,Optimal,False,0.0,0.0789167000039015,0.039763499997206964,36930.92223147462,19524.34350035126,14990.308030012298,125.85724288453738,3242.6529040201995,19022.938280222246,577.6592253559777,0,19600.597505578226
2025-02-16,True,8419.19853755247,8592.240942280865,Optimal,False,0.0,0.06664309999905527,0.040941400002338924,79703.95137137345,23049.367504218106,18514.24951416111,1455.6560113119237,1247.1102926283752,49067.91695098733,7105.055896386011,0,56172.97284737334
2025-02-17,True,8592.240942280865,8650.490552373456,Optimal,False,0.0,0.06867690000217408,0.03965330000210088,81001.69446725652,20697.871132613167,16712.850968333336,243.77841873016828,6076.589555040181,49881.90229752761,682.4962221862058,0,50564.39851971382
2025-02-18,True,8650.490552373456,8813.254627432538,Optimal,False,0.0,0.07188309999764897,0.041606600003433414,79676.79920607682,22227.038580263565,17857.413582460318,130.49910416668337,3346.285529106922,49109.381641750566,360.39526898159073,0,49469.77691073216
2025-02-19,True,8813.254627432538,8340.925457327161,Optimal,False,0.0,0.06553770000755321,0.03891529999964405,78714.55170740353,22618.875292289384,18746.38523984924,1102.16914388093,3064.903415510984,48510.567006899495,4428.854148508615,0,52939.42115540811
2025-02-20,True,8340.925457327161,7291.724763225306,Optimal,False,0.0,0.11735369999951217,0.04077139998844359,76748.0599427056,20813.68918551097,17803.36886495556,800.2350173119149,3544.840906128768,47399.409815276864,3757.1141780870344,0,51156.523993363895
2025-02-21,True,7291.724763225306,7275.481497618165,Optimal,False,0.0,0.15047219999541994,0.040825399992172606,34974.64984811288,17968.91262629973,14569.438166349208,1.0222600543841054e-11,6014.913354829034,18120.945831454985,4.042858126052096e-11,0,18120.945831455025
2025-02-22,True,7275.481497618165,8736.95688530203,Optimal,False,0.0,0.0816322000027867,0.040741099990555085,36731.2269537135,19528.169473969723,14502.489425,1.324862441975938e-11,3860.784021410458,18909.27128625126,4.999791014537181e-11,0,18909.27128625131
2025-02-23,True,8736.95688530203,8600.631913200617,Optimal,False,0.0009186932693168657,0.04149279999546707,0.042254500003764406,77965.38207040516,22163.126648190762,18074.82505992579,484.28470098691884,2829.511499793769,47993.01886058964,2257.9145928532475,0,50250.933453442885
2025-02-24,True,8600.631913200617,8672.32441423148,Optimal,False,0.0,0.06979119998868555,0.038989299995591864,77973.45317004116,21159.25394956594,17074.472448220637,148.62377654128866,5834.2618285704775,47811.34075853997,488.60574666899714,0,48299.946505208965
2025-02-25,True,8672.32441423148,8603.289781720901,Optimal,False,0.0,0.07308039999043103,0.03933480000705458,77607.09152400907,20308.647184218105,16512.13538847619,160.037384559139,8149.293879492959,47645.70937505331,461.4150949700962,0,48107.12447002341
2025-02-26,True,8603.289781720901,8808.949033907405,Optimal,False,0.0,0.07000089999928605,0.039913799992064014,75397.24042358514,22166.26155774397,17769.57853480476,272.90784670318664,2458.617214015795,46116.04711912289,1235.085103924554,0,47351.13222304745
2025-02-27,True,8808.949033907405,6749.567321231043,Optimal,False,0.0,0.1577304000093136,0.040421099998638965,71290.65264608222,19201.31757089017,17406.510773829767,1871.958530257551,4411.220179279363,44036.469908968276,9286.381540342425,0,53322.8514493107
2025-02-28,True,6749.567321231043,6564.223096674167,Optimal,False,0.0,0.07999370001198258,0.03842599999916274,33857.44330578875,17234.197916424164,14126.51011440476,8.819722729924706e-12,7457.161953769361,17427.34647903098,3.438130763422365e-11,0,17427.346479031014
2025-03-01,True,6564.223096674167,8820.306358441352,Optimal,False,0.0,0.13141410000389442,0.040621200008899905,36416.457798148636,19065.439979809908,13412.53144805556,9.71578373309967e-12,7104.783333060961,18620.504405284948,3.5215274252209386e-11,0,18620.504405284984
2025-03-02,True,8820.306358441352,8531.179969163582,Optimal,False,0.0,0.07563529998878948,0.0398568999953568,75863.45775737852,21000.44429196014,17270.573626837708,2094.393202646438,1869.6732282358548,46647.29438300452,10656.005688009269,0,57303.300071013786
2025-03-03,True,8531.179969163582,8609.914338459874,Optimal,False,6.17411413980806e-05,0.041242099992814474,0.04042720000143163,78610.36950795118,23031.717217805213,18584.830014055562,862.2104680329479,3008.546138901152,48423.81599317623,3465.8976239990725,0,51889.7136171753
2025-03-04,True,8609.914338459874,8722.903048225307,Optimal,False,3.768806522968839e-05,0.04223269999783952,0.04058159999840427,81122.94129198903,19944.42108899079,16053.291243293654,161.41406750001383,8193.767580458567,50359.09799698677,347.70391863490744,0,50706.801915621676
2025-03-05,True,8722.903048225307,8719.381963449294,Optimal,False,0.00014153332008496702,0.041998400003649294,0.0394057000085013,80294.09949051784,19118.185047485793,15488.898864761906,21.50618400795097,10555.847475135235,49546.70546682819,63.13557399383867,0,49609.84104082203
2025-03-06,True,8719.381963449294,6454.257153845239,Optimal,False,0.0,0.11533149999740999,0.041541099999449216,74764.75977626696,17276.86591641534,16032.873720940075,36.94568888890369,7617.059136347268,46702.781835044814,79.33014281658403,0,46782.1119778614
2025-03-07,True,6454.257153845239,5614.288250269839,Optimal,False,0.0,0.08469350000086706,0.03980339999543503,31523.207181330097,14518.360019787868,12515.843629246034,1.0864198429771932e-11,8598.40525745494,16584.4802282459,3.766141909444798e-11,0,16584.480228245935
2025-03-08,True,5614.288250269839,9097.624887842596,Optimal,False,0.0,0.13526460000139195,0.03888210000877734,34561.2971169,19357.269591213993,12544.385395067855,652.1498705321483,9337.423274619348,17870.310057603052,2407.4500862902796,0,20277.76014389333
2025-03-09,True,9097.624887842596,8902.319178475307,Optimal,False,0.0,0.07130889999098144,0.04197940000449307,71493.3258459558,21182.4004053395,17333.519466755555,507.21167118096406,4818.131528552825,43763.3990030671,2032.217275514084,0,45795.61627858118
2025-03-10,True,8902.319178475307,8982.154950783952,Optimal,False,0.0,0.07722830001148395,0.03956380000454374,71367.74937977806,21182.157385078877,17085.69528683611,1362.642593838516,591.8584253738176,43558.7222840061,6316.499622225035,0,49875.221906231134
2025-03-11,True,8982.154950783952,9020.374714904323,Optimal,False,0.0,0.0832551999919815,0.04177250000066124,72283.75538579463,20515.176784991174,16582.89540813452,293.267580754379,4705.82278969236,43782.77346156215,1210.457634087274,0,44993.231095649426
2025-03-12,True,9020.374714904323,8904.333585413584,Optimal,False,0.0,0.08050650000222959,0.03944649999903049,72843.37106840144,20046.96829816529,16342.481338055552,24.582209166686276,6727.931634125045,44358.07862618408,52.750850515071555,0,44410.829476699146
2025-03-13,True,8904.333585413584,5247.590682512789,Optimal,False,0.0,0.08516380000219215,0.03902949999610428,68422.08715340387,16841.777609220557,16932.90847607937,1542.5377838016002,2510.13778739762,42229.86837371867,7575.538731070394,0,49805.40710478907
2025-03-14,True,5247.590682512789,5418.4965841543235,Optimal,False,0.0,0.1356421000091359,0.03940500000317115,31227.91480122379,15411.719841330094,12329.677759999995,9.035567433146596e-12,12116.446736560367,16387.320247381445,2.967054489426413e-11,0,16387.320247381474
2025-03-15,True,5418.4965841543235,8697.03381367901,Optimal,False,0.0,0.10935230000177398,0.040483500008122064,35609.71573339163,19161.104133285316,12569.81084138889,7.08988423525625e-12,8094.297291495208,18236.39245243309,2.5973282524738297e-11,0,18236.392452433116
2025-03-16,True,8697.03381367901,9193.398972382718,Optimal,False,0.0,0.07438179999007843,0.03915460000280291,73489.14778820988,20376.76883820302,16058.454116111112,45.47994166668322,5865.266074451328,44644.896681526996,114.25428046728182,0,44759.15096199428
