timestamp,date,interval_start,interval_end,evaluation,price_yuan_per_kwh,predicted_load_kwh,predicted_pv_kwh,safety_margin_kwh,load_kwh,pv_kwh,purchase_kwh,charge_kwh,discharge_kwh,emergency_kwh,unused_kwh,soc_start_kwh,soc_end_kwh,plan_cost_yuan,emergency_cost_yuan,solver_status,planner_fallback,dispatch_fallback,load_model,pv_model
2025-02-01 00:00:00,2025-02-01,00:00,00:10,True,0.4248,449.518425,0.0,2.0666133333333665,422.0303666666667,0.0,1284.9183716666669,833.3333333333333,0.0,0.0,29.55467166666699,1200.0,1950.0,545.8333242840001,0.0,Optimal,False,False,2,2
2025-02-01 00:10:00,2025-02-01,00:10,00:20,True,0.4245,453.3549916666667,0.0,4.630799999999981,415.4073166666667,0.0,1291.319125,833.3333333333333,0.0,0.0,42.578475000000026,1950.0,2700.0,548.1649685625,0.0,Optimal,False,False,2,2
2025-02-01 00:20:00,2025-02-01,00:20,00:30,True,0.4269,459.645,0.0,12.963999999999967,410.7166666666667,0.0,1305.9423333333332,833.3333333333333,0.0,0.0,61.89233333333323,2700.0,3450.0,557.5067820999999,0.0,Optimal,False,False,2,2
2025-02-01 00:30:00,2025-02-01,00:30,00:40,True,0.4272,453.1444916666667,0.0,25.47682666666668,430.29479999999995,0.0,1311.9546516666667,833.3333333333333,0.0,0.0,48.326518333333524,3450.0,4200.0,560.467027192,0.0,Optimal,False,False,2,2
2025-02-01 00:40:00,2025-02-01,00:40,00:50,True,0.4271,462.8694333333334,0.0,31.0368133333333,424.4105833333333,0.0,1327.23958,833.3333333333333,0.0,0.0,69.49566333333337,4200.0,4950.0,566.8640246179999,0.0,Optimal,False,False,2,2
2025-02-01 00:50:00,2025-02-01,00:50,01:00,True,0.4285,463.35833333333335,0.0,31.159666666666674,406.0516666666667,0.0,1327.8513333333333,833.3333333333333,0.0,0.0,88.4663333333333,4950.0,5700.0,568.9842963333333,0.0,Optimal,False,False,2,2
2025-02-01 01:00:00,2025-02-01,01:00,01:10,True,0.4311,487.7711833333333,0.0,17.460823333333344,436.7501833333333,0.0,1171.8986733333331,735.1484900000004,0.0,5.684341886080801e-13,0.0,5700.0,6361.633641,505.2055180739999,1.2252598935447167e-12,Optimal,False,False,2,2
2025-02-01 01:10:00,2025-02-01,01:10,01:20,True,0.4302,489.62744166666664,0.0,10.184860000000018,451.7976833333333,0.0,1333.1456349999999,833.3333333333333,0.0,0.0,48.014618333333374,6361.633641,7111.633641,573.519252177,0.0,Optimal,False,False,2,2
2025-02-01 01:20:00,2025-02-01,01:20,01:30,True,0.4279,463.7366666666667,0.0,27.70466666666664,446.08,0.0,1324.7746666666667,833.3333333333333,0.0,0.0,45.361333333333505,7111.633641,7861.633641,566.8710798666667,0.0,Optimal,False,False,2,2
2025-02-01 01:30:00,2025-02-01,01:30,01:40,True,0.4312,487.1806416666667,0.0,12.524306666666668,471.7663333333333,0.0,499.7049483333334,27.93861499999972,0.0,0.0,3.623767952376511e-13,7861.633641,7886.7783945,215.47277372133337,0.0,Optimal,False,False,2,2
2025-02-01 01:40:00,2025-02-01,01:40,01:50,True,0.4333,500.54769166666665,0.0,15.356303333333331,448.02596666666665,0.0,515.903995,67.87802833333343,0.0,7.105427357601002e-14,0.0,7886.7783945,7947.86862,223.54120103350002,1.539390837024257e-13,Optimal,False,False,2,2
2025-02-01 01:50:00,2025-02-01,01:50,02:00,True,0.4311,502.0375,0.0,30.251833333333323,397.40333333333336,0.0,1365.6226666666666,833.3333333333343,0.0,0.0,134.88599999999894,7947.86862,8697.868620000001,588.7199316,0.0,Optimal,False,False,2,2
2025-02-01 02:00:00,2025-02-01,02:00,02:10,True,0.4293,497.5202916666667,0.0,8.127090000000022,434.0906333333333,0.0,1338.980715,833.3333333333333,0.0,0.0,71.55674833333342,8697.868620000001,9447.868620000001,574.8244209495,0.0,Optimal,False,False,2,2
2025-02-01 02:10:00,2025-02-01,02:10,02:20,True,0.4324,504.83970833333336,0.0,12.347149999999955,490.5609166666666,0.0,517.1868583333334,26.625941666667735,0.0,1.0018652574217413e-12,0.0,9447.868620000001,9471.831967500002,223.63159754333336,2.1660326865458045e-12,Optimal,False,False,2,2
2025-02-01 02:20:00,2025-02-01,02:20,02:30,True,0.4367,506.79583333333335,0.0,17.835333333333285,503.22,0.0,524.6311666666667,21.411166666665746,0.0,0.0,8.988365607365267e-13,9471.831967500002,9491.102017500001,229.10643048333333,0.0,Optimal,False,False,2,2
2025-02-01 02:30:00,2025-02-01,02:30,02:40,True,0.4348,507.88863333333336,0.0,2.4397500000000045,474.0728166666667,0.0,510.32838333333336,36.25556666666752,0.0,8.668621376273222e-13,0.0,9491.102017500001,9523.732027500002,221.89078107333336,1.8845582872017986e-12,Optimal,False,False,2,2
2025-02-01 02:40:00,2025-02-01,02:40,02:50,True,0.4335,510.09543333333335,0.0,16.945260000000058,461.38439999999997,0.0,527.0406933333334,65.65629333333264,0.0,0.0,7.531752999057062e-13,9523.732027500002,9582.822691500001,228.47214056,0.0,Optimal,False,False,2,2
2025-02-01 02:50:00,2025-02-01,02:50,03:00,True,0.4357,517.3358333333333,0.0,23.328666666666702,476.94166666666666,0.0,540.6645,63.722833333332446,0.0,0.0,8.668621376273222e-13,9582.822691500001,9640.1732415,235.56752264999997,0.0,Optimal,False,False,2,2
2025-02-01 03:00:00,2025-02-01,03:00,03:10,True,0.4374,519.8507166666666,0.0,16.11588500000004,483.39955000000003,0.0,535.9666016666666,52.56705166666708,0.0,4.831690603168681e-13,0.0,9640.1732415,9687.483588000001,234.43179156899998,1.0566907349129907e-12,Optimal,False,False,2,2
2025-02-01 03:10:00,2025-02-01,03:10,03:20,True,0.4371,524.2876166666667,0.0,9.529609999999938,486.6019166666667,0.0,533.8172266666667,47.2153100000004,0.0,4.121147867408581e-13,0.0,9687.483588000001,9729.977367000001,233.331509776,9.006768664221453e-13,Optimal,False,False,2,2
2025-02-01 03:20:00,2025-02-01,03:20,03:30,True,0.4356,524.6241666666667,0.0,15.419666666666686,498.84833333333336,0.0,540.0438333333334,41.195500000000415,0.0,3.765876499528531e-13,0.0,9729.977367000001,9767.053317000002,235.24309380000003,8.20207901597314e-13,Optimal,False,False,2,2
2025-02-01 03:30:00,2025-02-01,03:30,03:40,True,0.4353,514.4537333333333,0.0,8.672025000000014,518.3097333333334,0.0,523.1257583333332,4.8160250000000815,0.0,2.2737367544323206e-13,0.0,9767.053317000002,9771.387739500002,227.71664260249997,4.948788046021945e-13,Optimal,False,False,2,2
2025-02-01 03:40:00,2025-02-01,03:40,03:50,True,0.436,523.6317666666666,0.0,11.010078333333377,509.13346666666666,0.0,534.641845,25.50837833333288,0.0,0.0,4.440892098500626e-13,9771.387739500002,9794.345280000001,233.10384442,0.0,Optimal,False,False,2,2
2025-02-01 03:50:00,2025-02-01,03:50,04:00,True,0.4378,538.5366666666666,0.0,17.969000000000015,483.6166666666666,0.0,556.5056666666667,72.88899999999961,0.0,0.0,4.547473508864641e-13,9794.345280000001,9859.945380000001,243.6381808666667,0.0,Optimal,False,False,2,2
2025-02-01 04:00:00,2025-02-01,04:00,04:10,True,0.4401,527.7475916666666,0.0,14.91967666666668,491.1868,0.0,542.6672683333333,51.48046833333258,0.0,0.0,6.679101716144942e-13,9859.945380000001,9906.2778015,238.82786479349997,0.0,Optimal,False,False,2,2
2025-02-01 04:10:00,2025-02-01,04:10,04:20,True,0.4389,518.241075,0.0,20.067886666666666,504.64528333333334,0.0,538.3089616666667,33.663678333333436,0.0,4.263256414560601e-14,0.0,9906.2778015,9936.575112,236.26380327550004,9.35571620175324e-14,Optimal,False,False,2,2
