date,interval,timestamp,purchase_kwh,adjusted_purchase_kwh,load_kwh,pv_kwh,price_yuan_per_kwh,charge_kwh,discharge_kwh,emergency_kwh,unused_kwh,soc_start_kwh,soc_end_kwh
2025-02-01,0,2025-02-01 00:00:00,1275.6792416666667,1275.6792416666667,422.0303666666667,0.0,0.4248,833.3333333333333,0.0,0.0,20.31554166666683,1200.0,1950.0
2025-02-01,1,2025-02-01 00:10:00,1271.0088999999998,1271.0088999999998,415.4073166666667,0.0,0.4245,833.3333333333333,0.0,0.0,22.268249999999853,1950.0,2700.0
2025-02-01,2,2025-02-01 00:20:00,1291.385,1291.385,410.7166666666667,0.0,0.4269,833.3333333333333,0.0,0.0,47.335000000000036,2700.0,3450.0
2025-02-01,3,2025-02-01 00:30:00,1287.878675,1287.878675,430.29479999999995,0.0,0.4272,833.3333333333333,0.0,0.0,24.250541666666777,3450.0,4200.0
2025-02-01,4,2025-02-01 00:40:00,1257.2215166666665,1257.2215166666665,424.4105833333333,0.0,0.4271,832.8109333333334,0.0,2.2737367544323206e-13,0.0,4200.0,4949.52984
2025-02-01,5,2025-02-01 00:50:00,1264.2416666666663,1264.2416666666663,406.0516666666667,0.0,0.4285,833.3333333333333,0.0,0.0,24.856666666666342,4949.52984,5699.52984
2025-02-01,6,2025-02-01 01:00:00,1117.2810333333337,1117.2810333333337,436.7501833333333,0.0,0.4311,680.5308500000006,0.0,2.2737367544323206e-13,0.0,5699.52984,6312.007605000001
2025-02-01,7,2025-02-01 01:10:00,1301.7855416666666,1301.7855416666666,451.7976833333333,0.0,0.4302,833.3333333333333,0.0,0.0,16.65452500000015,6312.007605000001,7062.007605000001
2025-02-01,8,2025-02-01 01:20:00,1250.9741666666666,1250.9741666666666,446.08,0.0,0.4279,804.8941666666663,0.0,0.0,4.547473508864641e-13,7062.007605000001,7786.412355
2025-02-01,9,2025-02-01 01:30:00,484.7230750000001,484.7230750000001,471.7663333333333,0.0,0.4312,12.956741666666858,0.0,5.684341886080802e-14,0.0,7786.412355,7798.073422500001
2025-02-01,10,2025-02-01 01:40:00,511.48474166666654,511.48474166666654,448.02596666666665,0.0,0.4333,63.45877500000016,0.0,2.7000623958883807e-13,0.0,7798.073422500001,7855.186320000001
2025-02-01,11,2025-02-01 01:50:00,1306.9691666666665,1306.9691666666665,397.40333333333336,0.0,0.4311,833.3333333333333,0.0,0.0,76.23249999999985,7855.186320000001,8605.18632
2025-02-01,12,2025-02-01 02:00:00,1319.265375,1319.265375,434.0906333333333,0.0,0.4293,833.3333333333333,0.0,0.0,51.84140833333345,8605.18632,9355.18632
2025-02-01,13,2025-02-01 02:10:00,523.3204083333335,523.3204083333335,490.5609166666666,0.0,0.4324,32.75949166666679,0.0,0.0,7.105427357601002e-14,9355.18632,9384.6698625
2025-02-01,14,2025-02-01 02:20:00,505.015,505.015,503.22,0.0,0.4367,1.7949999999998707,0.0,0.0,8.837375276016246e-14,9384.6698625,9386.2853625
2025-02-01,15,2025-02-01 02:30:00,484.3008,484.3008,474.0728166666667,0.0,0.4348,10.227983333334123,0.0,8.526512829121202e-13,0.0,9386.2853625,9395.490547500001
2025-02-01,16,2025-02-01 02:40:00,503.6974333333333,503.6974333333333,461.38439999999997,0.0,0.4335,42.3130333333332,0.0,0.0,1.4921397450962104e-13,9395.490547500001,9433.572277500001
2025-02-01,17,2025-02-01 02:50:00,529.8208333333333,529.8208333333333,476.94166666666666,0.0,0.4357,52.8791666666661,0.0,0.0,5.613287612504791e-13,9433.572277500001,9481.1635275
2025-02-01,18,2025-02-01 03:00:00,492.36593333333315,492.36593333333315,483.39955000000003,0.0,0.4374,8.966383333334104,0.0,9.912071163853398e-13,0.0,9481.1635275,9489.233272500001
2025-02-01,19,2025-02-01 03:10:00,491.5744000000001,491.5744000000001,486.6019166666667,0.0,0.4371,4.972483333333204,0.0,0.0,1.9628743075372768e-13,9489.233272500001,9493.708507500001
2025-02-01,20,2025-02-01 03:20:00,515.5341666666667,515.5341666666667,498.84833333333336,0.0,0.4356,16.685833333334205,0.0,8.704148513061227e-13,0.0,9493.708507500001,9508.725757500002
2025-02-01,21,2025-02-01 03:30:00,512.7633,512.7633,518.3097333333334,0.0,0.4353,0.0,5.5464333333329705,4.547473508864641e-13,0.0,9508.725757500002,9502.563053796299
2025-02-01,22,2025-02-01 03:40:00,512.3613783055586,512.3613783055586,509.13346666666666,0.0,0.436,3.227911638892288,0.0,3.9168668308775523e-13,0.0,9502.563053796299,9505.468174271302
2025-02-01,23,2025-02-01 03:50:00,510.6483333333332,510.6483333333332,483.6166666666666,0.0,0.4378,27.031666666666247,0.0,0.0,3.339550858072471e-13,9505.468174271302,9529.796674271302
2025-02-01,24,2025-02-01 04:00:00,524.5965333333332,524.5965333333332,491.1868,0.0,0.4401,33.409733333333456,0.0,2.2026824808563106e-13,0.0,9529.796674271302,9559.865434271302
2025-02-01,25,2025-02-01 04:10:00,529.5839666666666,529.5839666666666,504.64528333333334,0.0,0.4389,24.93868333333416,0.0,9.166001291305292e-13,0.0,9559.865434271302,9582.310249271302
2025-02-01,26,2025-02-01 04:20:00,539.2883333333333,539.2883333333333,505.5783333333333,0.0,0.4364,33.70999999999994,0.0,0.0,4.263256414560601e-14,9582.310249271302,9612.649249271302
2025-02-01,27,2025-02-01 04:30:00,531.2590833333333,531.2590833333333,503.2309666666667,0.0,0.4393,28.028116666666595,0.0,3.197442310920451e-14,0.0,9612.649249271302,9637.874554271302
2025-02-01,28,2025-02-01 04:40:00,529.4906083333332,529.4906083333332,502.84698333333336,0.00023333333333333333,0.4422,26.643858333332496,0.0,0.0,6.323830348264892e-13,9637.874554271302,9661.854026771302
2025-02-01,29,2025-02-01 04:50:00,539.1966666666666,539.1966666666666,499.64166666666665,0.0,0.4395,0.0,0.0,0.0,39.55499999999995,9661.854026771302,9661.854026771302
