date,total_fee,initial_plan_fee,increase_fee,refund,cancel_penalty,emergency_fee,emergency_kwh,unused_kwh,start_soc,end_soc,fallbacks
2025-02-01,19590.07832999844,20721.499692285885,161.4918270752298,2711.44675726711,1355.723378633555,62.81018927088338,33.3642083333469,2396.252080675597,1200.0,3591.7106439482704,0
2025-02-02,62080.062761229914,64706.21722533679,0.0,5317.38536821377,2658.692684106885,32.538220000060534,13.456666666680452,2211.111459361783,3591.7106439482704,3802.604848751003,0
2025-02-03,63808.879313899146,66838.74550842191,5.867605068488047e-13,6202.693415945628,3101.346707972814,71.48051345007748,31.88668333334861,1637.435943095511,3802.604848751003,2664.687201056428,0
2025-02-04,66323.44174872641,69627.63141887562,0.0,6608.379340298568,3304.189670149284,8.892576175423272e-11,1.9357626612759304e-11,2179.3006683305507,2664.687201056428,2176.433173816208,0
2025-02-05,63731.747684004134,64965.77199522507,69.53785472192425,2623.716000819104,1311.858000409552,8.29583446674204,3.8549416666842364,1953.906505674139,2176.433173816208,2230.039032812376,0
2025-02-06,66343.39142714441,70448.42913226853,1.7128058971138672e-12,8212.107420322645,4106.053710161323,1.0160050372242437,0.1404291689392103,2174.8643539775003,2230.039032812376,2922.6759887956837,0
2025-02-07,18106.87917762205,19067.9590804404,0.0,1924.6157663534266,962.3078831767133,1.227980358368271,0.7061416666785432,6245.599243833143,2922.6759887956837,1944.2755392576569,0
2025-02-08,16434.11200425746,16075.305307601568,358.8066966558492,0.0,0.0,4.670949982354955e-11,1.7141399411002567e-11,3202.228983920213,1944.2755392576569,2193.5942502652615,0
2025-02-09,63314.51621300337,65910.27059478353,0.0,5191.508763560461,2595.7543817802307,8.040242860385404e-11,1.7030182819510742e-11,1596.362525389583,2193.5942502652615,1995.7721721227938,0
2025-02-10,58018.97543752444,60547.3658154435,922.313391715564,6901.407539269285,3450.7037696346424,4.739880551940523e-11,1.2854217690261294e-11,736.0500365226605,1995.7721721227938,1931.257259767452,0
2025-02-11,58823.635619995795,62019.42642826606,1.6808485270303209e-12,6391.5816165406,3195.7908082703,6.494638760123905e-11,1.5583312418243622e-11,1142.3646685695842,1931.257259767452,1827.2384155120615,0
