mode,total_fee_yuan,plan_fee_yuan,emergency_fee_yuan,emergency_kwh,adjustment_abs_kwh,unused_kwh,conversion_loss_kwh,days,intervals,start_soc,end_soc,seconds,fallbacks,max_gap,delivered_contract_fee_yuan,adjustment_friction_yuan,cost_change_vs_adaptive_yuan,cost_change_percent
adaptive,13629358.914869241,13329555.10795391,299803.8069153307,91418.46744139834,1759295.510163117,1510248.7954822918,1228273.3861153887,334,48096,1200,1200.0,599.4597305000061,0,0.000998814075709175,12701334.257406455,628220.8505474553,0.0,0.0
frozen,13828555.501537211,13731987.650293516,96567.85124369328,26950.279427875656,1681729.0195650214,2291333.8282635845,1206536.3947057598,334,48096,1200,1200.0,721.176112599991,1,0.001789277548856398,13159654.065133937,572333.5851595793,199196.58666796982,1.4615257248134543
rolling,13659777.063978693,13510063.961614642,149713.10236405116,42313.770318318646,1243659.006891597,2228415.0831922377,1221193.19673352,334,48096,1200,1200.0,663.0262230999942,0,0.0009955358222676098,13071330.072197363,438733.8894172795,30418.1491094511,0.22318107036029236
