date,total_fee,initial_plan_fee,increase_fee,refund,cancel_penalty,emergency_fee,emergency_kwh,unused_kwh,start_soc,end_soc,fallbacks
2025-02-01,25819.71394007901,31108.76407273167,136.7556881364046,10866.569065578235,5433.284532789117,7.478712000043553,3.856000000011928,989.7159635282959,1200.0,2471.063472600346,1
2025-02-02,69053.25021709024,72632.70175883168,2.989358573024423,7216.562130428957,3608.2810652144785,25.840164900059982,10.514100000013707,1.25010002349768e-11,2471.063472600346,2052.3054510863417,1
2025-02-03,65324.043286487,68995.85705471341,0.0,7343.627536452974,3671.813768226487,9.904294850926475e-11,2.1800783400749424e-11,1772.9414388338967,2052.3054510863417,2192.2352445125753,0
2025-02-04,67265.63815634523,71271.948653926,0.0,8012.620995161647,4006.3104975808237,9.186002125627368e-11,2.0040413772903776e-11,2183.148217206141,2192.2352445125753,2247.0708087490966,0
2025-02-05,64258.344967824756,65863.27786920597,99.88429298590141,3409.634388734364,1704.817194367182,7.509009272710365e-11,1.7408463559576148e-11,1960.8545795778048,2247.0708087490966,2185.7363568166443,0
2025-02-06,66678.44223830313,71308.83553170697,0.0,9262.81859688213,4631.409298441065,1.0160050372507778,0.14042916894247565,1969.7109803036365,2185.7363568166443,2899.4170699829397,0
2025-02-07,18372.241920665863,19380.059941819243,0.0,2015.6360423068295,1007.8180211534147,3.7575455774652157e-11,1.1979472969159133e-11,6834.114170378853,2899.4170699829397,1883.5850613647717,0
2025-02-08,16446.290126238193,16373.615676037445,81.59410808186959,17.83931576231404,8.91965788115702,4.6675324716360934e-11,1.6709744699028306e-11,3256.60035111256,1883.5850613647717,2189.951829911931,0
2025-02-09,63947.946630636594,66775.79368001825,0.0,5655.69409876347,2827.847049381735,7.980808369723036e-11,1.7234880189676005e-11,2099.2316968616647,2189.951829911931,2013.713280826306,0
2025-02-10,58571.48614619832,61420.73062730624,1032.6578610335978,7763.804684283079,3881.9023421415395,5.6691894595450877e-11,1.4597933972737565e-11,879.0162405277961,2013.713280826306,1938.4661886525917,0
2025-02-11,59367.98142708326,62969.88770082697,0.0,7203.812547487554,3601.906273743777,6.459282075876871e-11,1.490707557394444e-11,1281.3189075327455,1938.4661886525917,1830.4674884383403,0
2025-02-12,59037.53145763919,62501.33936631626,0.0,6927.615817354209,3463.8079086771045,6.033959176754422e-11,1.4083290089672573e-11,1132.431888149547,1830.4674884383403,1831.3786559634245,0
2025-02-13,53320.900452672206,54426.462914593096,506.896253010381,3481.9462979886907,1740.9731489943454,128.51443406309906,25.468575914212195,238.76711552999998,1831.3786559634245,1407.8285478981854,0
2025-02-14,15722.894560719244,14903.643846409079,769.7745468020149,0.0,0.0,49.47616750815472,32.82276244719907,2719.778740226682,1407.8285478981854,1634.191391261711,0
2025-02-15,16635.912086139397,16030.17250754395,571.6431162479769,1063.5217789058618,531.7608894529309,565.8573518004047,150.9740963872361,2729.5026913916654,1634.191391261711,1200.0,0
2025-02-16,58842.07619823489,60315.45918650529,1563.4974904556589,6073.760957452294,3036.880478726147,8.30864799183928e-11,2.121325337611779e-11,41.65066214736538,1200.0,1386.737755217824,0
2025-02-17,55137.780613454524,58818.4440823436,2.378641283939942e-12,7361.326937778306,3680.663468889153,6.92030996951587e-11,1.7409185204542155e-11,352.2173327988277,1386.737755217824,1778.7826118115513,0
2025-02-18,52891.60113549137,51324.173309182384,1860.6487607464476,586.4418688750607,293.22093443753033,7.196071821757854e-11,1.7200019186702775e-11,393.41832420225217,1778.7826118115513,2582.397373893884,0
