variant,total_cost_yuan,plan_cost_yuan,emergency_cost_yuan,saving_yuan,saving_fraction,emergency_kwh,unused_kwh,start_soc_kwh,end_soc_kwh
enhanced,14101764.952641252,13353949.248952221,747815.7036890315,1844785.1534077693,0.11568553330591458,159552.80481085775,2808914.108329026,1200.0,1200.0
no_margin,15701048.510076355,12186491.381720454,3514557.1283559008,245501.59597266652,0.015395279501836612,809313.2750820013,1842243.798847947,1200.0,1200.0
one_day,14098914.795936419,13321725.0455011,777189.7504353193,1847635.310112603,0.11586426517493198,171303.8789000732,2707739.4398001237,1200.0,1200.0
alpha65,14520331.928297255,12733591.084256824,1786740.8440404292,1426218.1777517665,0.08943741237239511,405471.8760701671,2170699.989160494,1200.0,1200.0
alpha90,14290133.369064,13959763.25011985,330370.1189441511,1656416.7369850222,0.10387304626827665,64492.09194280266,3593991.5030367607,1200.0,1200.0
