energy,value
1200.0,0.0
1600.0,-186.72449096750643
2000.0,-383.1459379263033
2400.0,-559.4219176358383
2800.0,-762.9306502661639
3200.0,-920.9740058002644
3600.0,-1133.8480179943435
4000.0,-1337.9892248305841
4400.0,-1527.6416007301232
4800.0,-1706.9957050065786
5200.0,-1915.773869623983
5600.0,-2100.636288665053
6000.0,-2294.608694925453
6400.0,-2486.970196586233
6800.0,-2676.836863252902
7200.0,-2860.4638318339566
7600.0,-3050.268261712059
8000.0,-3240.0015950453817
8400.0,-3429.420328814136
8800.0,-3618.220328814132
9200.0,-3806.947494749613
9600.0,-3995.614161416277
10000.0,-4179.616787176572
10400.0,-4313.646025790164
10800.0,-4512.7663897922685
