energy,value
1200.0,0.0
1600.0,-191.59999999999127
2000.0,-383.19446173335746
2400.0,-574.3944617333618
2800.0,-765.5877249245168
3200.0,-956.7432804800701
3600.0,-1147.785864579324
4000.0,-1338.5858645793269
4400.0,-1529.2049207796954
4800.0,-1719.6493652241334
5200.0,-1909.9098370630236
5600.0,-2100.087614840799
6000.0,-2290.003897363895
6400.0,-2479.8705640305634
6800.0,-2669.6933031496446
7200.0,-2859.5023593352817
7600.0,-3049.235692668619
8000.0,-3238.5647144010436
8400.0,-3427.3647144010465
8800.0,-3616.089316164507
9200.0,-3804.7559828311787
9600.0,-3982.849755419418
10000.0,-4150.763477732777
10400.0,-4315.840907085483
10800.0,-4480.784350191105
