energy,value
1200.0,0.0
1600.0,-190.72861761529566
2000.0,-381.1730620597373
2400.0,-571.525775973987
2800.0,-761.7035537517659
3200.0,-951.6850081604243
3600.0,-1141.551674827093
4000.0,-1331.3821324556739
4400.0,-1521.2004770822714
4800.0,-1710.9338104156086
5200.0,-1900.412453899091
5600.0,-2089.21245389909
6000.0,-2277.9494651273253
6400.0,-2466.6161317939914
6800.0,-2650.295901568841
7200.0,-2820.097872395778
7600.0,-2985.4893654094903
8000.0,-3150.511587631714
8400.0,-3311.829283162697
8800.0,-3471.386077332141
9200.0,-3630.562165573807
9600.0,-3788.9981655738065
10000.0,-3947.240107347141
10400.0,-4105.424313351585
10800.0,-4263.531137451584
