energy,value
1200.0,0.0
1600.0,-192.5543456108826
2000.0,-381.4852208497723
2400.0,-569.8622952514379
2800.0,-763.5523013160164
3200.0,-951.5291324300597
3600.0,-1126.225607841865
4000.0,-1286.3726663163434
4400.0,-1452.0409272300567
4800.0,-1611.5392504938936
5200.0,-1770.5152504938924
5600.0,-1929.21013895539
6000.0,-2087.584424669676
6400.0,-2245.8486588147316
6800.0,-2404.033947508793
7200.0,-2562.145674267067
7600.0,-2720.1561346065428
8000.0,-2878.0432517518493
8400.0,-3035.748532011712
8800.0,-3193.3033958942797
9200.0,-3350.775728668428
9600.0,-3508.181436427116
10000.0,-3665.515806920481
10400.0,-3822.803122203186
10800.0,-3979.973236127131
