energy,value
1200.0,0.0
1600.0,-191.59999999999854
2000.0,-383.20000000000437
2400.0,-574.6950417525732
2800.0,-765.8950417525703
3200.0,-957.0693985385442
3600.0,-1148.2249540940975
4000.0,-1339.1155911663227
4400.0,-1529.9058085796569
4800.0,-1720.3502530241021
5200.0,-1910.7373839293723
5600.0,-2100.9151617071548
6000.0,-2290.9328845889613
6400.0,-2480.79955125563
6800.0,-2670.6349137140496
7200.0,-2860.4571359362744
7600.0,-3050.2031028215497
8000.0,-3239.915779159659
8400.0,-3428.7746702386794
8800.0,-3617.545128640355
9200.0,-3806.211795307019
9600.0,-3993.4137964294496
10000.0,-4171.195123361147
10400.0,-4339.518464167202
10800.0,-4503.799363678947
