energy,value
1200.0,0.0
1600.0,-194.01597587842843
2000.0,-353.85743033743347
2400.0,-575.6260223070058
2800.0,-743.6536917565609
3200.0,-959.4314756900494
3600.0,-1140.333918226017
4000.0,-1340.9867390481086
4400.0,-1527.1772516773854
4800.0,-1730.251071347855
5200.0,-1897.2666055013833
5600.0,-2098.919317616783
6000.0,-2296.8808592780333
6400.0,-2484.8912506176785
6800.0,-2676.5316094169902
7200.0,-2867.339435304144
7600.0,-3048.250094080402
8000.0,-3231.8293064098834
8400.0,-3441.049577731057
8800.0,-3623.3912416096427
9200.0,-3817.2057878873384
9600.0,-3992.7050245854334
10000.0,-4188.204439101326
10400.0,-4334.234199821847
10800.0,-4520.655298298101
