energy,value
1200.0,0.0
1600.0,-193.84562483724585
2000.0,-386.4134129703234
2400.0,-596.4013456593457
2800.0,-760.4218513538653
3200.0,-972.9369568187685
3600.0,-1158.4291152575024
4000.0,-1356.5113105454438
4400.0,-1522.560056193448
4800.0,-1723.1258568908888
5200.0,-1922.2831828535855
5600.0,-2114.2287603834848
6000.0,-2312.6306314826434
6400.0,-2494.8512528344218
6800.0,-2689.4306703144466
7200.0,-2880.9715085961216
7600.0,-3072.162348509708
8000.0,-3242.0012995945217
8400.0,-3433.3732461958934
8800.0,-3625.114667070993
9200.0,-3813.9008117589765
9600.0,-4004.7967086656718
10000.0,-4194.101653524085
10400.0,-4377.455654038771
10800.0,-4541.872355833453
