energy,value
1200.0,0.0
1600.0,-192.72468178534473
2000.0,-378.61941877609934
2400.0,-598.4333637488307
2800.0,-789.6333637488278
3200.0,-962.329151849779
3600.0,-1171.599728593952
4000.0,-1326.4945084422652
4400.0,-1519.2426311507588
4800.0,-1715.4951558545654
5200.0,-1906.3262009868195
5600.0,-2105.8400732073715
6000.0,-2315.5467992802514
6400.0,-2505.7245770580193
6800.0,-2666.857514300267
7200.0,-2834.444639298177
7600.0,-3051.5833785412906
8000.0,-3234.422082317964
8400.0,-3456.0312195126244
8800.0,-3614.217554612347
9200.0,-3833.8267214494917
9600.0,-4004.8689794429956
10000.0,-4191.427836151226
10400.0,-4349.333479549852
10800.0,-4513.734760554507
