energy,value
1200.0,0.0
1600.0,-174.03276637352246
2000.0,-384.0734791297655
2400.0,-549.1021668169342
2800.0,-759.1777867262208
3200.0,-951.6392799813984
3600.0,-1148.638583104097
4000.0,-1325.3149402559065
4400.0,-1523.6396162554302
4800.0,-1714.3549509655859
5200.0,-1910.966278555541
5600.0,-2099.2952094562643
6000.0,-2267.102520471315
6400.0,-2477.255606944447
6800.0,-2652.1882004759827
7200.0,-2858.6782779192
7600.0,-3039.1146821789516
8000.0,-3240.340914697248
8400.0,-3423.284940969803
8800.0,-3616.777770742199
9200.0,-3806.407454949338
9600.0,-3964.55103576315
10000.0,-4181.161607016045
10400.0,-4348.287278960001
10800.0,-4510.294734953262
