energy,value
1200.0,0.0
1600.0,-192.71638865252316
2000.0,-392.49326563306386
2400.0,-580.559922264576
2800.0,-771.0583657579118
3200.0,-963.3405603136707
3600.0,-1128.009665620637
4000.0,-1334.188729274625
4400.0,-1517.321835412411
4800.0,-1731.137309641992
5200.0,-1917.2454595535673
5600.0,-2098.345543244377
6000.0,-2277.853143111639
6400.0,-2492.473205612565
6800.0,-2682.817689792533
7200.0,-2872.6399120147507
7600.0,-3059.2640425838727
8000.0,-3230.6833943624624
8400.0,-3414.601888848414
8800.0,-3630.5624861811593
9200.0,-3819.3280353434748
9600.0,-4006.4429020358366
10000.0,-4191.350286381439
10400.0,-4338.192477545748
10800.0,-4524.390175861969
