energy,value
1200.0,0.0
1600.0,-211.96496619070967
2000.0,-386.15591783037235
2400.0,-606.9088400372857
2800.0,-768.3342353896951
3200.0,-989.7388678324351
3600.0,-1159.9184353186356
4000.0,-1371.9232524242398
4400.0,-1537.6613285280037
4800.0,-1753.3296950471704
5200.0,-1943.7144291147051
5600.0,-2097.2138558127117
6000.0,-2323.508528415259
6400.0,-2484.479082724807
6800.0,-2691.399337795803
7200.0,-2876.0866612979953
7600.0,-3083.4221583563485
8000.0,-3272.267057374389
8400.0,-3460.4471519051076
8800.0,-3627.169921946821
9200.0,-3833.5023854869432
9600.0,-3993.0774865087296
10000.0,-4208.027812075474
10400.0,-4344.209954655591
10800.0,-4539.776968878643
