energy,value
1200.0,0.0
1600.0,-192.47549350972258
2000.0,-371.8346507770839
2400.0,-583.8772520316634
2800.0,-780.9597808876861
3200.0,-964.1766522351827
3600.0,-1163.549625941334
4000.0,-1345.6586029151913
4400.0,-1514.2661067517256
4800.0,-1735.7599885178424
5200.0,-1899.3460422735843
5600.0,-2117.0049886572087
6000.0,-2299.8433597918665
6400.0,-2474.5307255523294
6800.0,-2680.3648518044465
7200.0,-2870.9189479606976
7600.0,-3061.187835770139
8000.0,-3254.897359993247
8400.0,-3445.5259563095788
8800.0,-3629.1833616116237
9200.0,-3799.043157144675
9600.0,-4008.5258761943987
10000.0,-4193.8637430378
10400.0,-4339.75737015636
10800.0,-4525.346070482425
