energy,value
1200.0,0.0
1600.0,-172.31303276162362
2000.0,-383.7635306997545
2400.0,-571.5493648863121
2800.0,-774.6916175004808
3200.0,-966.3424350281857
3600.0,-1157.698264581195
4000.0,-1342.4014460866529
4400.0,-1532.154525482496
4800.0,-1731.103076767431
5200.0,-1913.4200449447671
5600.0,-2105.09326755059
6000.0,-2289.671603416784
6400.0,-2493.5554015221933
6800.0,-2682.868402885135
7200.0,-2840.230447590431
7600.0,-3064.045310693524
8000.0,-3246.6746405896993
8400.0,-3436.0933743584465
8800.0,-3597.9869445706136
9200.0,-3786.7141105060946
9600.0,-4009.3912103977564
10000.0,-4193.447865662936
10400.0,-4327.451405331027
10800.0,-4526.127028884563
