energy,value
1200.0,0.0
1600.0,-191.59999999999854
2000.0,-383.1999999999971
2400.0,-574.7147746424962
2800.0,-765.9147746424933
3200.0,-957.0978742351363
3600.0,-1148.2534297906896
4000.0,-1339.2140788984689
4400.0,-1530.0140788984718
4800.0,-1720.5259560529157
5200.0,-1910.9704004973537
5600.0,-2101.1500924743013
6000.0,-2291.2751489587463
6400.0,-2481.141815625415
6800.0,-2670.993302416522
7200.0,-2860.815524638747
7600.0,-3050.5960203120776
8000.0,-3240.329353645415
8400.0,-3429.4557030487413
8800.0,-3618.255703048744
9200.0,-3806.950331277083
9600.0,-3995.6169979437473
10000.0,-4170.72610506104
10400.0,-4342.455914754348
10800.0,-4508.675392553821
