energy,value
1200.0,0.0
1600.0,-188.66666666666424
2000.0,-371.4646749115509
2400.0,-545.9297232098124
2800.0,-711.0825815594089
3200.0,-876.1048037816308
3600.0,-1037.637466074877
4000.0,-1197.170148633113
4400.0,-1356.226044683288
4800.0,-1514.6620446832876
5200.0,-1672.8827402769093
5600.0,-1831.0498226414493
6000.0,-1989.1189224552945
6400.0,-2146.968889789314
6800.0,-2304.541513577442
7200.0,-2461.994237733539
7600.0,-2619.350237733539
8000.0,-2776.571487981666
8400.0,-2933.7033581677642
8800.0,-3090.7283964158923
9200.0,-3247.649645982703
9600.0,-3404.492198004973
10000.0,-3561.294025071784
10400.0,-3718.0020250717826
10800.0,-3874.5390314123015
