energy,value
1200.0,0.0
1600.0,-190.79999999999927
2000.0,-381.40588247681444
2400.0,-571.850326921256
2800.0,-762.0683403899784
3200.0,-952.2058050016312
3600.0,-1142.0724716682998
4000.0,-1331.921658412346
4400.0,-1521.7438806345708
4800.0,-1711.510416537105
5200.0,-1901.2437498704403
5600.0,-2090.2149388622747
6000.0,-2279.000105470903
6400.0,-2467.666772137569
6800.0,-2654.902940889646
7200.0,-2835.3486299086144
7600.0,-3002.111483253626
8000.0,-3167.133705475848
8400.0,-3330.9930412513168
8800.0,-3491.3480445864952
9200.0,-3651.1520445864935
9600.0,-3810.4198410913305
10000.0,-3969.433492164093
10400.0,-4127.8694921640945
10800.0,-4286.098800025238
