energy,value
1200.0,0.0
1600.0,-191.59999999999127
2000.0,-383.1999999999971
2400.0,-574.7669995346369
2800.0,-765.9669995346412
3200.0,-957.157097370713
3600.0,-1148.3126529262663
4000.0,-1339.3348016237214
4400.0,-1530.1348016237243
4800.0,-1720.7226046711876
5200.0,-1911.1670491156328
5600.0,-2101.4174828706746
6000.0,-2291.5952606484498
6400.0,-2481.4851524330297
6800.0,-2671.34889704785
7200.0,-2861.171119270075
7600.0,-3050.970201816941
8000.0,-3240.703535150271
8400.0,-3430.0194594715213
8800.0,-3618.819459471524
9200.0,-3807.523332220153
9600.0,-3996.189998886817
10000.0,-4176.7364414168405
10400.0,-4348.335506474861
10800.0,-4513.174463244737
