energy,value
1200.0,0.0
1600.0,-163.46102921728743
2000.0,-354.6741012687271
2400.0,-555.5882912721863
2800.0,-746.7882912721834
3200.0,-937.9703878085711
3600.0,-1129.1259433641317
4000.0,-1339.2488989266785
4400.0,-1530.0488989266814
4800.0,-1701.3838036763336
5200.0,-1883.8881240591581
5600.0,-2074.0659018369333
6000.0,-2271.968135255782
6400.0,-2461.834801922443
6800.0,-2651.6644430913293
7200.0,-2841.4826428631786
7600.0,-3031.2159761965013
8000.0,-3220.7065245418635
8400.0,-3409.506620399021
8800.0,-3598.2547961870077
9200.0,-3786.9228312258274
9600.0,-3971.9278762845497
10000.0,-4151.201490085143
10400.0,-4320.0879876165345
10800.0,-4484.625300205094
