energy,value
1200.0,0.0
1600.0,-198.71750968933338
2000.0,-390.49220796929876
2400.0,-582.3168992493302
2800.0,-748.9270961725488
3200.0,-957.1475133607892
3600.0,-1156.0466305962327
4000.0,-1338.5711610579674
4400.0,-1506.4618474148665
4800.0,-1714.6033488001194
5200.0,-1887.6011086095532
5600.0,-2102.8362289030847
6000.0,-2294.595942710155
6400.0,-2481.074292447047
6800.0,-2663.827255170152
7200.0,-2870.376747499795
7600.0,-3052.28458897565
8000.0,-3235.449585678849
8400.0,-3439.3778232255063
8800.0,-3621.328366778631
9200.0,-3810.715180860265
9600.0,-4002.866588742152
10000.0,-4186.96303242421
10400.0,-4358.100169877947
10800.0,-4523.148904662412
