energy,value
1200.0,0.0
1600.0,-192.14662349241553
2000.0,-383.74662349242135
2400.0,-566.5441782695561
2800.0,-757.8421801309814
3200.0,-957.2980018614253
3600.0,-1148.4569026672834
4000.0,-1339.5806373985542
4400.0,-1530.3806373985572
4800.0,-1721.0728258309318
5200.0,-1912.0638937677868
5600.0,-2102.3911632031886
6000.0,-2292.568940980964
6400.0,-2482.5535685619325
6800.0,-2672.420235228601
7200.0,-2862.2515888844573
7600.0,-3052.073811106682
8000.0,-3241.266493760413
8400.0,-3430.859991961668
8800.0,-3619.6599919616638
9200.0,-3808.401172527556
9600.0,-3988.8120174637734
10000.0,-4169.489335752944
10400.0,-4347.688017081062
10800.0,-4513.705408605318
