energy,value
1200.0,0.0
1600.0,-189.8222222222248
2000.0,-379.6113734079554
2400.0,-569.3447067412926
2800.0,-758.5282445248449
3200.0,-947.3282445248478
3600.0,-1136.0108593167824
4000.0,-1323.3501956561267
4400.0,-1498.0380752122765
4800.0,-1664.708577473033
5200.0,-1829.730799695255
5600.0,-1991.608349477272
6000.0,-2151.184952938249
6400.0,-2310.376952938248
6800.0,-2468.8353570178333
7200.0,-2627.1175243778307
7600.0,-2785.3123195264416
8000.0,-2943.460319526439
8400.0,-3101.4710753808868
8800.0,-3259.206197867392
9200.0,-3416.757183030011
9600.0,-3574.210580704894
10000.0,-3731.5665807048936
10400.0,-3888.808418321958
10800.0,-4045.9630686010023
