energy,value
1200.0,0.0
1600.0,-188.22480780442856
2000.0,-382.6894192605105
2400.0,-544.8618476244956
2800.0,-735.6105105524912
3200.0,-957.209816050934
3600.0,-1147.911061703613
4000.0,-1309.3826526530975
4400.0,-1500.1826526530858
4800.0,-1690.681393082792
5200.0,-1881.1162112838938
5600.0,-2071.2939890616763
6000.0,-2261.415200898373
6400.0,-2451.2818675650415
6800.0,-2641.1286844732385
7200.0,-2830.950906695456
7600.0,-3020.711592967964
8000.0,-3210.444926301294
8400.0,-3399.3685679599803
8800.0,-3588.1677464612294
9200.0,-3776.8344131278936
9600.0,-3964.2659281260203
10000.0,-4144.304278213895
10400.0,-4311.878012909205
10800.0,-4476.583157392146
