energy,value
1200.0,0.0
1600.0,-191.59999999999854
2000.0,-383.1999999999971
2400.0,-574.8000000000029
2800.0,-766.1007136857152
3200.0,-957.3007136857195
3600.0,-1148.4575565177365
4000.0,-1339.5560285072643
4400.0,-1530.35602850726
4800.0,-1720.9962862034517
5200.0,-1911.440730647897
5600.0,-2101.719265531152
6000.0,-2291.897043308927
6400.0,-2481.791157293097
6800.0,-2671.652938240397
7200.0,-2861.4751604626217
7600.0,-3051.273073764998
8000.0,-3241.0064070983353
8400.0,-3430.288857856671
8800.0,-3619.0888578566664
9200.0,-3807.8070246535717
9600.0,-3996.473691320236
10000.0,-4177.5945778530295
10400.0,-4345.769110928937
10800.0,-4511.049896098448
