energy,value
1200.0,0.0
1600.0,-188.74190654786435
2000.0,-378.7051714890913
2400.0,-569.997697649098
2800.0,-760.0246698687442
3200.0,-950.9423499651384
3600.0,-1140.4853598537811
4000.0,-1329.0458641834175
4400.0,-1517.231061905979
4800.0,-1706.924096268198
5200.0,-1896.7894411331417
5600.0,-2084.0103705833208
6000.0,-2275.557202196507
6400.0,-2454.625505812366
6800.0,-2621.122448461896
7200.0,-2786.144670684118
7600.0,-2948.5291705145355
8000.0,-3108.3331705145356
8400.0,-3267.6627737817907
8800.0,-3426.4786668143443
9200.0,-3584.8930691547594
9600.0,-3743.1130691547605
10000.0,-3901.264706876287
10400.0,-4059.309847149181
10800.0,-4216.9826874313185
