energy,value
1200.0,0.0
1600.0,-191.59999999999854
2000.0,-383.1999999999971
2400.0,-574.5033574455301
2800.0,-765.7033574455272
3200.0,-956.8617469260062
3600.0,-1147.977340573314
4000.0,-1338.7773405733024
4400.0,-1529.455129837268
4800.0,-1719.8995742817206
5200.0,-1910.1907060841404
5600.0,-2100.3684838619156
6000.0,-2290.3223147274766
6400.0,-2480.188981394138
6800.0,-2670.01803970366
7200.0,-2859.840261925885
7600.0,-3049.5759566815977
8000.0,-3239.140172384934
8400.0,-3427.940172384937
8800.0,-3616.694723618508
9200.0,-3805.361390285172
9600.0,-3990.5253432467653
10000.0,-4169.760335293948
10400.0,-4339.020636241556
10800.0,-4504.181304344878
