energy,value
1200.0,0.0
1600.0,-197.16532916017604
2000.0,-388.7653291601746
2400.0,-588.8458483324503
2800.0,-780.0458483324473
3200.0,-956.9954176094398
3600.0,-1148.150973164993
4000.0,-1353.2733221466115
4400.0,-1544.073322146607
4800.0,-1734.5649822066116
5200.0,-1924.9695225293835
5600.0,-2115.147300307166
6000.0,-2305.188332554113
6400.0,-2495.0549992207743
6800.0,-2684.89624792189
7200.0,-2874.7184701441074
7600.0,-3064.478076770778
8000.0,-3254.211410104115
8400.0,-3443.0960087674466
8800.0,-3617.663069661663
9200.0,-3806.3297363283273
9600.0,-4006.681929328828
10000.0,-4180.771811394719
10400.0,-4342.074920463208
10800.0,-4501.502356329773
