energy,value
1200.0,0.0
1600.0,-180.5323004589518
2000.0,-383.12451275364583
2400.0,-569.672911984082
2800.0,-748.9221303550439
3200.0,-956.4986047478451
3600.0,-1140.3740581781021
4000.0,-1345.0833718733775
4400.0,-1514.816794368664
4800.0,-1721.420694389497
5200.0,-1909.134509136733
5600.0,-2103.6470803254197
6000.0,-2291.8020287165637
6400.0,-2468.9433922967037
6800.0,-2672.8388429909573
7200.0,-2854.703786200582
7600.0,-3056.8172428834987
8000.0,-3224.572610145202
8400.0,-3434.2857243616454
8800.0,-3608.7278421876654
9200.0,-3809.250566347615
9600.0,-3986.221282671486
10000.0,-4188.666141533784
10400.0,-4336.410188812577
10800.0,-4521.164983390558
