energy,value
1200.0,0.0
1600.0,-191.59999999999854
2000.0,-383.1999999999971
2400.0,-574.7999999999956
2800.0,-766.0267877424994
3200.0,-957.2211734861121
3600.0,-1148.3767290416654
4000.0,-1360.5655572920514
4400.0,-1551.365557292047
4800.0,-1742.0037613920504
5200.0,-1911.3106746461053
5600.0,-2101.590305332218
6000.0,-2291.7680831099933
6400.0,-2481.6629149474975
6800.0,-2671.5228703161047
7200.0,-2861.3450925383295
7600.0,-3051.1378696149986
8000.0,-3262.008734138719
8400.0,-3451.2434932770484
8800.0,-3618.905962086661
9200.0,-3807.611323655001
9600.0,-3996.277990321665
10000.0,-4176.674441062387
10400.0,-4347.032741556395
10800.0,-4513.119534845406
