energy,value
1200.0,0.0
1600.0,-175.6599034436149
2000.0,-383.4214341340994
2400.0,-561.70062694644
2800.0,-765.7021820758018
3200.0,-950.0246029837726
3600.0,-1148.8946911418097
4000.0,-1307.8141708971161
4400.0,-1532.609999254666
4800.0,-1689.8673130280295
5200.0,-1912.228126620299
5600.0,-2103.534771362094
6000.0,-2284.3832508095584
6400.0,-2451.8390471898892
6800.0,-2667.9693888822367
7200.0,-2863.0784804584036
7600.0,-3052.9921839916715
8000.0,-3240.805054841163
8400.0,-3431.1967407301345
8800.0,-3619.6886992776344
9200.0,-3809.8191478786684
9600.0,-3997.450365576711
10000.0,-4186.162480679683
10400.0,-4356.469333228946
10800.0,-4520.510431481656
