energy,value
1200.0,0.0
1600.0,-193.01593288766162
2000.0,-382.81657053222443
2400.0,-575.3512670291457
2800.0,-766.951267029137
3200.0,-926.8232858112024
3600.0,-1117.9666246559354
4000.0,-1336.5319466262372
4400.0,-1527.2847310106808
4800.0,-1718.045255480065
5200.0,-1912.1608401221092
5600.0,-2100.0219660064977
6000.0,-2287.9057956359684
6400.0,-2478.0835734137436
6800.0,-2672.029984423498
7200.0,-2830.310098145943
7600.0,-3051.6693943634964
8000.0,-3235.538481792646
8400.0,-3425.616922147434
8800.0,-3587.134235907477
9200.0,-3803.8129761028904
9600.0,-3995.223911544839
10000.0,-4175.061851746417
10400.0,-4342.8050224003455
10800.0,-4503.866091169635
