energy,value
1200.0,0.0
1600.0,-191.59999999999854
2000.0,-383.1999999999971
2400.0,-574.7999999999956
2800.0,-766.0189845412606
3200.0,-957.2133917038882
3600.0,-1148.3689472594488
4000.0,-1339.407952318652
4400.0,-1530.2079523186476
4800.0,-1720.8063030264311
5200.0,-1911.2507474708764
5600.0,-2101.4633919161497
6000.0,-2291.6342244157495
6400.0,-2481.500891082418
6800.0,-2671.357983351998
7200.0,-2861.180205574223
7600.0,-3050.9665885919894
8000.0,-3240.6999219253266
8400.0,-3429.881180716344
8800.0,-3618.6811807163467
9200.0,-3807.3901778184227
9600.0,-3996.056844485094
10000.0,-4174.231779701637
10400.0,-4345.807169884785
10800.0,-4510.918882655402
