energy,value
1200.0,0.0
1600.0,-191.59999999999854
2000.0,-383.20000000000437
2400.0,-574.7147746425107
2800.0,-765.9147746425078
3200.0,-957.0978742351508
3600.0,-1148.253429790704
4000.0,-1339.2140788984761
4400.0,-1530.014078898479
4800.0,-1720.525956052923
5200.0,-1910.9704004973682
5600.0,-2101.1500924743086
6000.0,-2291.275148958761
6400.0,-2481.141815625422
6800.0,-2670.9933024165293
7200.0,-2860.815524638754
7600.0,-3050.596020312092
8000.0,-3240.3293536454294
8400.0,-3429.455703048756
8800.0,-3618.2557030487587
9200.0,-3806.9503312770903
9600.0,-3995.6169979437545
10000.0,-4171.023799886847
10400.0,-4342.482252406109
10800.0,-4508.5018619444745
