energy,value
1200.0,0.0
1600.0,-188.66666666666424
2000.0,-371.4095098908456
2400.0,-545.7638495910069
2800.0,-710.901259412507
3200.0,-875.9234816347289
3600.0,-1037.3059448228196
4000.0,-1196.7849600102218
4400.0,-1355.7530078978962
4800.0,-1514.1752343636635
5200.0,-1672.395234363663
5600.0,-1830.5559630189164
6000.0,-1988.6091554070445
6400.0,-2146.410874067018
6800.0,-2303.9675715494323
7200.0,-2461.4045769566
7600.0,-2618.7493871661572
8000.0,-2775.961387166157
8400.0,-2933.0787458233262
8800.0,-3090.078514366216
9200.0,-3246.9837369090983
9600.0,-3403.819258423393
10000.0,-3560.6019077162746
10400.0,-3717.283351009173
10800.0,-3873.809445097666
