energy,value
1200.0,0.0
1600.0,-180.6210366056839
2000.0,-371.27579620286997
2400.0,-569.1373198717774
2800.0,-738.3684088061636
3200.0,-954.2971670665283
3600.0,-1125.4329158204491
4000.0,-1335.8746284994631
4400.0,-1516.1163230319798
4800.0,-1717.9741449315552
5200.0,-1905.4407368809989
5600.0,-2105.0345413183895
6000.0,-2292.3364088315284
6400.0,-2459.9278295724944
6800.0,-2671.6671779950047
7200.0,-2846.8694985303227
7600.0,-3050.353673170448
8000.0,-3229.697134750193
8400.0,-3419.026724555035
8800.0,-3615.1463033293912
9200.0,-3810.943214717481
9600.0,-3978.8798986970687
10000.0,-4185.264747127891
10400.0,-4352.956760691086
10800.0,-4517.684003008086
