energy,value
1200.0,0.0
1600.0,-191.60000000000582
2000.0,-383.20000000000437
2400.0,-574.8000000000029
2800.0,-766.0273690107206
3200.0,-957.218334272191
3600.0,-1148.3738898277443
4000.0,-1339.3590334115506
4400.0,-1530.1590334115535
4800.0,-1720.6869420220319
5200.0,-1911.1313864664771
5600.0,-2101.3299960354416
6000.0,-2291.4842415140592
6400.0,-2481.3509081807206
6800.0,-2671.2038873898055
7200.0,-2861.0261096120303
7600.0,-3050.8039469079813
8000.0,-3240.5372802413185
8400.0,-3429.6236486821435
8800.0,-3618.4236486821464
9200.0,-3807.104811554411
9600.0,-3994.5374683788614
10000.0,-4172.215204861437
10400.0,-4341.210012700409
10800.0,-4506.984903894219
