energy,value
1200.0,0.0
1600.0,-191.59999999999854
2000.0,-383.11194512249494
2400.0,-574.3119451224993
2800.0,-765.4944818679069
3200.0,-956.6500374234674
3600.0,-1147.5882850418784
4000.0,-1338.3882850418813
4400.0,-1528.891047583631
4800.0,-1719.3245835193811
5200.0,-1909.5023612971563
5600.0,-2099.5234802829946
6000.0,-2289.390146949663
6400.0,-2479.226426956404
6800.0,-2669.0486491786287
7200.0,-2858.7988119104557
7600.0,-3048.5321452437784
8000.0,-3237.3718566421157
8400.0,-3426.1551549431897
8800.0,-3614.821821609861
9200.0,-3800.2389870420957
9600.0,-3975.5272354942936
10000.0,-4148.188646545226
10400.0,-4319.352678869953
10800.0,-4484.953529681334
