energy,value
1200.0,0.0
1600.0,-191.60000000000582
2000.0,-383.20000000000437
2400.0,-554.6810735481922
2800.0,-766.1239600296612
3200.0,-957.3234204165274
3600.0,-1148.4789759720807
4000.0,-1339.6223636312425
4400.0,-1530.4281241237186
4800.0,-1721.2147832807386
5200.0,-1911.6592277251766
5600.0,-2102.0451795248955
6000.0,-2292.222957302678
6400.0,-2482.246406277365
6800.0,-2672.113072944034
7200.0,-2861.952868515771
7600.0,-3051.7750907379886
8000.0,-3241.522541168204
8400.0,-3431.1557822617324
8800.0,-3619.9557822617353
9200.0,-3808.7029458284014
9600.0,-3997.3696124950657
10000.0,-4180.372641928414
10400.0,-4330.237577293206
10800.0,-4517.813696745565
