date,evaluation,start_soc_kwh,end_soc_kwh,solver_status,solver_gap,planner_fallback,solve_seconds,controller_seconds,integer_pairs,refinement_rounds,purchase_kwh,emergency_kwh,unused_kwh,charge_kwh,discharge_kwh,conversion_loss_kwh,total_energy_waste_kwh,plan_cost_yuan,emergency_cost_yuan,total_cost_yuan
2025-02-01,True,1200.0,8821.539733982625,Optimal,6.891652612748155e-05,False,5.530490800010739,0.20498130000487436,2016,5,51494.76745271652,1.085691259117283e-11,5022.034584286316,27553.53249743433,15458.975562337448,4473.01720111426,9495.051785400578,26184.76505213462,4.224929985724435e-11,26184.765052134662
2025-02-02,True,8821.539733982625,9298.168207108967,Optimal,0.0001251528636170214,False,3.3718836000043666,0.20940819999668747,22,4,89941.86801860538,1.4119372337972891e-11,6996.993079268254,21892.796650123342,17304.199660786202,4111.968516210802,11108.961595479057,57239.53321039064,5.186390472644575e-11,57239.53321039069
2025-02-03,True,9298.168207108967,8889.838792703707,Optimal,0.00011896275074026843,False,3.0508985000051325,0.20550189999630675,16,3,88126.99519030309,2.0259349753359857e-11,4279.042550823065,21044.908486551467,17413.872347071425,4039.3655538853054,8318.40810470837,56209.89299671262,7.019237735494955e-11,56209.89299671269
2025-02-04,True,8889.838792703707,9139.262229760314,Optimal,0.00011101651395982252,False,2.952268000008189,0.21789890000945888,19,3,88698.77199034886,1.3394396702892664e-11,2874.1362021458085,23185.740762379573,18555.96892417651,4380.348401146459,7254.484603292267,56355.99598046439,4.661328878441395e-11,56355.99598046443
2025-02-05,True,9139.262229760314,9127.802239343915,Optimal,0.00011047098032741574,False,2.0155894000054104,0.20504349999828264,26,2,88208.08404143753,1.6317391882125776e-11,3089.133200235168,23057.041311809524,18686.517453940476,4381.98384828545,7471.117048520618,56075.85552346286,5.5792359621165136e-11,56075.85552346292
2025-02-06,True,9127.802239343915,8580.249419232805,Optimal,1.2977151318684841e-05,False,0.6303522999951383,0.20340069998928811,3,1,88380.67462039001,4.098075000016975,4490.753830937702,21661.89045202979,18038.928804244133,4170.514467896772,8661.268298834475,56160.66083223289,8.698164187561025,56169.35899642045
2025-02-07,True,8580.249419232805,8575.315968422172,Optimal,3.4675767505781114e-05,False,0.6381756000046153,0.2013264999986859,5,1,42194.91202770637,1.3259726650005632e-11,6712.176283537668,19376.29570121905,15699.239623717,3681.9895283126825,10394.165811850351,21843.05453654283,4.1748260237728375e-11,21843.05453654287
2025-02-08,True,8575.315968422172,8833.8456242712,Optimal,0.00016525661370193057,False,1.899724499991862,0.2117255000048317,15,2,40867.94775894188,1.049338393954713e-11,5440.639630602387,19039.309060045853,15189.163648373016,3591.6157558238096,9032.255386426197,21131.465593825025,3.744857646204025e-11,21131.46559382506
2025-02-09,True,8833.8456242712,8657.141810273368,Optimal,0.00019043446274700083,False,2.889266999991378,0.20420859998557717,22,3,86879.24755610764,1.5184888069175173e-11,3190.5629277633893,22591.06365408236,18457.79499240476,4309.972475675432,7500.535403438821,54896.67062933731,5.941699521283538e-11,54896.67062933737
2025-02-10,True,8657.141810273368,8978.183288055552,Optimal,0.00020840452826925056,False,2.1678653999988455,0.2068812999932561,20,2,87905.32489206745,1.3303136370268476e-11,9493.890866456037,19978.205854074396,15893.409411796298,3763.7549644959176,13257.645830951955,55411.36193023304,4.428421096491775e-11,55411.361930233084
2025-02-11,True,8978.183288055552,8296.722109510582,Optimal,0.00017653471703492997,False,2.03197640000144,0.20147210000141058,20,2,86202.66747527831,1.1280476552855134e-11,7741.418172658262,20284.038052511598,17043.38588322487,3922.113347831701,11663.531520489963,54424.54900600056,4.103747153205717e-11,54424.549006000605
2025-02-12,True,8296.722109510582,8579.522875317456,Optimal,0.0006789017710505827,False,5.9062779000087176,0.20520769999711774,2016,5,85969.50137974753,1.3149481503660354e-11,6448.068341739899,21053.559028674314,16798.86212400001,3971.896138867433,10419.964480607332,54239.76250219977,4.1506353021247836e-11,54239.76250219981
2025-02-13,True,8579.522875317456,6845.347501150796,Optimal,5.1909261072228954e-05,False,0.6158921000023838,0.20286640000995249,6,1,78855.5250668885,65.54716720985525,5478.350615839148,19336.844412329123,17223.60181073658,3847.4179757591996,9325.768591598347,49282.05348995976,333.4393831284645,49615.492873088224
2025-02-14,True,6845.347501150796,6502.057864947091,Optimal,1.1053269722020453e-09,False,0.500205400006962,0.2022581000055652,1,1,34296.79383848651,866.0256426219307,2251.4330591269986,17992.34356788481,14882.758962570031,3452.8742415184847,5704.307300645483,17757.202910091626,4201.2535781214965,21958.456488213124
2025-02-15,True,6502.057864947091,7941.6239034124355,Optimal,5.329941824198455e-05,False,0.5734747999958927,0.21242649998748675,7,1,36105.36937124447,996.3350541182184,2764.2905500000115,19798.491267072997,14741.16849171032,3617.7567368973355,6382.047286897347,18448.87334269774,4324.546057292852,22773.419399990595
2025-02-16,True,7941.6239034124355,8349.205691671079,Optimal,8.61203606785345e-05,False,0.6430378000077326,0.19783630000893027,13,1,78794.20319970926,1667.8959546103704,229.56646666668826,23622.7893590535,18767.635771400557,4447.571799394301,4677.13826606099,48331.675377071406,8554.74021940177,56886.415596473176
2025-02-17,True,8349.205691671079,8186.780616247794,Optimal,0.0004670745850688494,False,0.6681500999984564,0.1988710000005085,16,1,79633.45954117736,286.4966188224953,4892.324512475525,20999.742361782275,17155.9738809246,4006.1935562809617,8898.518068756486,48932.44968656674,1911.3182942175183,50843.76798078426
2025-02-18,True,8186.780616247794,8713.706273161371,Optimal,0.0003532093776797462,False,1.468601899992791,0.19883550000668038,16,1,79030.72257646613,216.0374700526507,2310.821805058317,23001.67035213109,18157.119894003965,4317.624801213549,6628.446606271867,48480.56421805278,1388.1446860159106,49868.70890406869
2025-02-19,True,8713.706273161371,8312.035436265434,Optimal,0.0003400545122000921,False,1.4003601000003982,0.19783549998828676,15,1,77654.10133291563,1198.2090221281335,1942.5158364491713,23115.636255092595,19085.169119831346,4432.137972157187,6374.653808606358,47670.13051940709,6368.854032003406,54038.984551410496
2025-02-20,True,8312.035436265434,6656.923645714287,Optimal,0.00015526444216885032,False,1.376640500006033,0.21185329998843372,10,1,74917.58882410741,559.4056245202056,1946.1064159440778,21196.60479392758,18658.850494577375,4192.866089901356,6138.972505845433,46175.5690605992,2799.392564157038,48974.96162475624
2025-02-21,True,6656.923645714287,6780.883143123,Optimal,1.5229595738381256e-06,False,0.5697225000039907,0.2108695000060834,3,1,34703.86949952305,1.116684522628475e-11,5523.868294089453,18464.082233854904,14844.343061754631,3495.779674691561,9019.647968781013,17848.11136678791,4.0148520397131904e-11,17848.11136678795
2025-02-22,True,6780.883143123,8088.00324069445,Optimal,0.00015341382983943163,False,1.7068409999919822,0.2102013999974588,6,2,36117.812749699195,59.76468855258903,3404.424128314782,19747.275467312462,14818.88504070879,3621.2703290322233,7025.6944573470055,18498.670485792834,365.3415411219468,18864.01202691478
2025-02-23,True,8088.00324069445,8279.35734200176,Optimal,2.8376601386726344e-05,False,4.621283600004972,0.19974050000018906,2016,5,76851.08391996211,407.7094148928744,1094.1254795144591,23476.81832016117,18844.00414815397,4441.460070699892,5535.585550214351,46978.42698605323,2133.873250018215,49112.300236071445
2025-02-24,True,8279.35734200176,8106.588256250001,Optimal,7.103980423720398e-05,False,1.2002666999906069,0.19503099999565165,4,1,76981.56919411499,470.5472671846824,5462.075637379983,20749.996760155802,16962.98955290278,3959.7762930047784,9421.85193038476,47182.530683658384,2701.619532488206,49884.15021614659
2025-02-25,True,8106.588256250001,7909.729448750002,Optimal,8.045010056714618e-05,False,1.8446107000054326,0.2106459999922663,5,2,76719.24331906605,88.7397729737838,7307.799885547729,20294.90999951989,16616.05002636111,3875.7187806587795,11183.518666206508,47051.19070137446,418.4691812075316,47469.65988258199
2025-02-26,True,7909.729448750002,8261.87211125,Optimal,0.0005341428822733794,False,2.018801900005201,0.20675389999814797,10,4,73938.07940440686,413.0386467083522,900.4401206548531,22731.060530931747,18095.23063380472,4283.687234627033,5184.127355281886,45143.24201901909,2077.374490616523,47220.61650963561
2025-02-27,True,8261.87211125,6087.6765518861675,Optimal,0.0003009375665363728,False,1.5052485000051092,0.20898979999765288,10,3,69322.05021676279,1515.5105621380458,1984.601901913113,20279.740423237712,18383.365746249998,4070.5702363515493,6055.172138264662,42720.37350671034,7609.595280714631,50329.96878742497
2025-02-28,True,6087.6765518861675,5442.017983003114,Optimal,0.00014140726678475317,False,3.6835722000105307,0.19906579999951646,2016,5,32272.269402807982,210.20994877778912,6546.778887841697,16969.471714414864,14326.36480067079,3288.76548262713,9835.544370468826,16535.874948418175,1005.4826825137379,17541.357630931914
2025-03-01,True,5442.017983003114,8038.388216250002,Optimal,6.53008971175081e-05,False,0.6345673000032548,0.19550030000391416,3,1,36272.59384604592,257.25462261009636,6827.8113968793,19508.09436063783,13464.823222194445,3446.9009051964995,10274.7123020758,18334.209093641774,1213.0853063157829,19547.29439995756
2025-03-02,True,8038.388216250002,7730.44985470679,Optimal,5.160454624056867e-06,False,0.6552990000054706,0.21044419999816455,3,1,74266.41960610838,3095.5094373011266,1755.4283737859805,18554.411201819723,15306.21759886287,3556.1319645000694,5311.56033828605,46276.14156519467,16053.544580680631,62329.686145875305
2025-03-03,True,7730.44985470679,8070.453634567902,Optimal,3.0814471164627753e-05,False,0.6689570999878924,0.204254199998104,4,1,77373.00432144718,573.6066819011351,1020.3526802983736,24226.885725482163,19317.774035765553,4569.1079098555,5589.460590153874,47457.037633185406,2735.3702765572775,50192.40790974268
2025-03-04,True,8070.453634567902,8195.923943086422,Optimal,3.855572950527602e-05,False,0.659504499999457,0.20241229998646304,5,1,79351.20358300227,1.6426859872353816e-11,6157.642523498678,20427.262360545275,16433.159234375005,3868.632817651751,10026.275341150429,49108.03547543267,5.920580725682356e-11,49108.03547543273
2025-03-05,True,8195.923943086422,8104.9121827932095,Optimal,3.296296074529023e-05,False,0.7015392999892356,0.20402479999756906,5,1,78513.0650810048,1.5468126779438762e-11,8753.762608950634,19530.21599816529,15901.385542777778,3719.8422156807273,12473.60482463136,48328.09120692311,5.530878288695362e-11,48328.09120692317
2025-03-06,True,8104.9121827932095,5386.014926937156,Optimal,7.208080509241794e-06,False,0.624242800011416,0.20215339999413118,2,1,72673.51297204015,1.953437411827963e-11,5913.494153301515,17191.432714083006,16372.068028677686,3538.261941261377,9451.756094562892,45364.52018784439,7.362996823356838e-11,45364.520187844464
2025-03-07,True,5386.014926937156,4294.292010920456,Optimal,0.00015940416626478328,False,4.265553400007775,0.205148699998972,2016,5,30588.140399822576,1.4298784378752316e-11,7854.1341900436455,14706.691057161273,12894.970380715662,2903.443592462312,10757.577782505958,15985.989886455547,5.115960632906535e-11,15985.989886455598
2025-03-08,True,4294.292010920456,8307.425424817673,Optimal,2.0026940496997038e-05,False,0.6406309999874793,0.20086759999685455,2,1,34248.49127882327,1216.3811423550762,9068.53379236969,19586.205471760477,12253.006359618492,3320.065698244769,12388.599490614459,17507.360715842075,3760.2095840313395,21267.570299873412
2025-03-09,True,8307.425424817673,8496.282295586423,Optimal,0.000324194548506382,False,0.6305179999908432,0.20182159999967553,3,1,69714.19205520293,1.598787768841703e-11,2094.4405702088525,21664.501322643275,17378.27488764918,4097.369564225348,6191.8101344342,42708.784809994984,5.251239565406962e-11,42708.784809995035
2025-03-10,True,8496.282295586423,8416.294006327162,Optimal,0.00020026189295163516,False,0.6574770000006538,0.20407049999630544,3,1,69058.09556177605,2600.807412442922,45.100668055573266,19177.475349982844,15605.744493819439,3651.7191454226668,3696.81981347824,42321.060940270174,15039.125086344095,57360.18602661427
2025-03-11,True,8416.294006327162,8086.204134583486,Optimal,0.0006071130000004518,False,2.840780700003961,0.20444869999482762,21,4,69346.5447509146,549.5299580255725,2459.1363572188243,19974.212822582467,16476.19327086111,3828.109423465037,6287.245780683861,42571.45356244216,2777.655904642999,45349.10946708516
2025-03-12,True,8086.204134583486,7727.900026664968,Optimal,0.0008335722180608006,False,2.540323900000658,0.20997100000386126,31,3,70211.80530473836,57.03386569738655,4443.701302267861,19537.246747164267,16147.643562329722,3747.907292753063,8191.608595020924,43207.599824694094,386.4679737849397,43594.06779847903
2025-03-13,True,7727.900026664968,3738.7116601552234,Optimal,0.0004797829100411,False,2.2949567000032403,0.21336939999309834,14,3,65255.36209543227,1635.7800045203207,1.5398904373853384e-11,15451.545332340416,16106.021249054507,3334.712449795654,3334.7124497956693,41106.53834986589,8706.635741128164,49813.174090994056
2025-03-14,True,3738.7116601552234,4423.512789673219,Optimal,9.312552462158059e-06,False,0.5521293999918271,0.21530320000601932,1,1,30522.470167867647,196.30788279407776,11017.242086436909,16083.09981223836,12410.989831346877,2987.3088513734892,14004.550937810398,15898.036604412708,737.7807677972974,16635.817372210004
2025-03-15,True,4423.512789673219,8032.304086725728,Optimal,0.0002604813771478913,False,0.6285856000031345,0.2094230999937281,6,1,34612.2841992657,171.43037529167563,6895.500937139927,19558.822737211514,12594.73424979407,3355.2971903649373,10250.798127504864,17654.906570731677,630.5326850314452,18285.43925576312
2025-03-16,True,8032.304086725728,8148.4983297109875,Optimal,0.00044165760967258925,False,4.472504000004847,0.20027729999856092,2016,5,71078.44319453034,1.64000000002097,3708.6737199040836,20609.4090663485,16589.046525055554,3904.1682983076894,7612.842018211773,43222.775100407605,7.4611800000811925,43230.236280407684
2025-03-17,True,8148.4983297109875,8186.840044029673,Optimal,0.0003052795926074884,False,4.365560899997945,0.2070497999957297,2016,5,69126.39705810165,1.738431620879055e-11,7693.085319150848,18635.119803845588,15059.93949822811,3536.8385912987933,11229.923910449641,42037.96682979443,6.963243404101149e-11,42037.9668297945
2025-03-18,True,8186.840044029673,8548.306420126046,Optimal,0.0004212314625408482,False,4.07718950000708,0.1979369000036968,2016,5,68173.30730381323,1.9207635482132446e-11,2531.242872066689,22056.770139963966,17540.664074884076,4154.639688983517,6685.882561050205,41191.78058708296,7.20971203294063e-11,41191.780587083034
2025-03-19,True,8548.306420126046,8944.765527966796,Optimal,0.000924127203780628,False,4.889441599996644,0.21069000000716187,2016,5,66811.43757091009,70.9186767500155,3024.2579235493745,21241.12987923187,16848.50200512114,3996.1687662699806,7020.4266898193555,40550.042170800116,251.64914734177736,40801.69131814189
2025-03-20,True,8944.765527966796,3756.5847133950606,Optimal,0.0005771339813123453,False,3.739025099988794,0.20595619999221526,2016,5,60279.4198038655,727.0977757101007,523.7924930555727,15490.13685772593,17216.373587872567,3461.9440844251008,3985.7365774806735,37656.27715815043,3097.330632642876,40753.60779079331
2025-03-21,True,3756.5847133950606,3992.7398237962943,Optimal,1.3063485795594949e-08,False,3.1008011999947485,0.2004305000009481,2016,5,30012.815061941357,6.316724920907291e-12,14736.875867787283,15947.026726980559,12704.552049493142,3006.319567086183,17743.195434873465,15378.564706232135,2.0827491731267854e-11,15378.564706232155
2025-03-22,True,3992.7398237962943,9731.975733117279,Optimal,0.00025413954158862975,False,4.639341100002639,0.20664669999678154,2016,5,35602.535912477535,1.2052747688784393e-11,10475.32520216051,21477.361361025374,12231.350384041667,3506.775067662723,13982.100269823233,17867.444612150088,4.327748617805049e-11,17867.44461215013
2025-03-23,True,9731.975733117279,8535.642465709876,Optimal,0.00027346141564657577,False,4.873757099994691,0.2076173999957973,2016,5,64857.93362485481,110.41384398921599,3645.3053225707054,19105.37879091221,16552.056761305554,3749.6552970140606,7394.960619584766,39454.71048192156,541.0346064725042,39995.74508839406
2025-03-24,True,8535.642465709876,7965.278086408485,Optimal,0.0005700886062387704,False,4.431436999992002,0.20280539999657776,2016,5,64356.48846398805,364.32019636404294,3415.2457012174436,20107.3358798556,16800.27000405429,3877.4302551027035,7292.675956320148,38924.313495406015,1404.5555943489505,40328.86908975497
