timestamp,date,interval_start,interval_end,evaluation,price_yuan_per_kwh,predicted_load_kwh,predicted_pv_kwh,load_kwh,pv_kwh,purchase_kwh,charge_kwh,discharge_kwh,emergency_kwh,unused_kwh,conversion_loss_kwh,total_energy_waste_kwh,soc_start_kwh,soc_end_kwh,plan_cost_yuan,emergency_cost_yuan,solver_status,planner_fallback,dispatch_fallback
2025-02-01 00:00:00,2025-02-01,00:00,00:10,True,0.4248,449.518425,0.0,422.0303666666667,0.0,1242.3708749999998,820.3405083333331,0.0,0.0,1.1368683772161603e-13,82.0340508333333,82.03405083333341,1200.0,1938.3064574999999,527.7591477,0.0,Optimal,False,False
2025-02-01 00:10:00,2025-02-01,00:10,00:20,True,0.4245,453.3549916666667,0.0,415.4073166666667,0.0,1233.678125,818.2708083333333,0.0,1.1368683772161603e-13,0.0,81.82708083333331,81.82708083333331,1938.3064574999999,2674.750185,523.6963640624999,2.4130031306413003e-13,Optimal,False,False
2025-02-01 00:20:00,2025-02-01,00:20,00:30,True,0.4269,459.645,0.0,410.7166666666667,0.0,1294.1049999999998,833.3333333333333,0.0,0.0,50.054999999999836,83.3333333333333,133.38833333333315,2674.750185,3424.750185,552.4534244999999,0.0,Optimal,False,False
2025-02-01 00:30:00,2025-02-01,00:30,00:40,True,0.4272,453.1444916666667,0.0,430.29479999999995,0.0,1287.878675,833.3333333333333,0.0,0.0,24.250541666666777,83.3333333333333,107.58387500000008,3424.750185,4174.750185,550.18176996,0.0,Optimal,False,False
2025-02-01 00:40:00,2025-02-01,00:40,00:50,True,0.4271,462.8694333333334,0.0,424.4105833333333,0.0,1257.2215166666665,832.8109333333334,0.0,2.2737367544323206e-13,0.0,83.28109333333332,83.28109333333332,4174.750185,4924.280025,536.9593097683332,4.855564839090221e-13,Optimal,False,False
2025-02-01 00:50:00,2025-02-01,00:50,01:00,True,0.4285,463.35833333333335,0.0,406.0516666666667,0.0,1264.2416666666666,833.3333333333333,0.0,0.0,24.85666666666657,83.3333333333333,108.18999999999987,4924.280025,5674.280025,541.7275541666667,0.0,Optimal,False,False
2025-02-01 01:00:00,2025-02-01,01:00,01:10,True,0.4311,487.7711833333333,0.0,436.7501833333333,0.0,1295.4338500000001,833.3333333333333,0.0,0.0,25.350333333333538,83.3333333333333,108.68366666666684,5674.280025,6424.280025,558.461532735,0.0,Optimal,False,False
2025-02-01 01:10:00,2025-02-01,01:10,01:20,True,0.4302,489.62744166666664,0.0,451.7976833333333,0.0,1337.2033416666666,833.3333333333333,0.0,0.0,52.07232500000009,83.3333333333333,135.4056583333334,6424.280025,7174.280025,575.264877585,0.0,Optimal,False,False
2025-02-01 01:20:00,2025-02-01,01:20,01:30,True,0.4279,463.7366666666667,0.0,446.08,0.0,1318.9383333333333,833.3333333333333,0.0,0.0,39.52500000000009,83.3333333333333,122.85833333333339,7174.280025,7924.280025,564.3737128333333,0.0,Optimal,False,False
2025-02-01 01:30:00,2025-02-01,01:30,01:40,True,0.4312,487.1806416666667,0.0,471.7663333333333,0.0,471.8123916666666,0.04605833333294464,0.0,0.0,3.4737490661740367e-13,0.0046058333332944625,0.004605833333641837,7924.280025,7924.3214775,203.44550328666665,0.0,Optimal,False,False
