mode,total_fee_yuan,plan_fee_yuan,emergency_fee_yuan,emergency_kwh,adjustment_abs_kwh,unused_kwh,conversion_loss_kwh,days,intervals,start_soc,end_soc,seconds,fallbacks,max_gap,saving_yuan,saving_percent
reference,14132554.581425283,13862621.368356708,269933.2130685768,60015.93628172656,1731980.3163626085,1959892.7796763512,1077349.0613001403,334,48096,1200,1200.0,540.527476999996,0,162.59975827154832,0.0,0.0
solver,13841135.434485652,13403625.093713956,437510.3407716969,114861.59281592142,1495047.6799191034,1736722.9509402905,1210210.7697738525,334,48096,1200,1200.0,629.7851227000065,0,0.002515964927029756,291419.14693963155,2.0620415457135395
adaptive,13629358.914869241,13329555.10795391,299803.8069153307,91418.46744139834,1759295.510163117,1510248.7954822918,1228273.3861153887,334,48096,1200,1200.0,599.4597305000061,0,0.000998814075709175,503195.6665560417,3.56054288456386
