month,total_cost_yuan_new,total_cost_yuan_baseline
2,1237716.7926588776,1301726.8364000644
3,1152553.313966369,1300794.7428777178
4,976822.484550083,1156498.835427281
5,1020329.045995604,1248416.7059323883
6,1469789.9621692768,1708094.9967185317
7,1579121.7864344558,1895511.558285093
8,1284994.5239075685,1474732.1734089812
9,1196889.464516795,1298345.9050521646
10,1155393.1947204827,1262896.2694107941
11,1274269.3325591348,1408260.6598505408
12,1753885.051162606,1891271.4226854648
