date,plan_fee_yuan,emergency_fee_yuan,emergency_kwh,adjustment_abs_kwh,increase_fee_yuan,refund_yuan,decrease_penalty_yuan,base_plan_fee_yuan,final_contract_fee_yuan,bill_identity_error_yuan,total_fee_yuan,start_soc_kwh,end_soc_kwh,unused_kwh,conversion_loss_kwh
2025-02-01,24846.15174153113,3.64179915113283e-11,9.578560167256e-12,4746.858519469304,403.3731145911145,-2248.4836207798553,1124.2418103899277,25567.02043732994,23587.45222627749,3.637978807091713e-12,24846.151741531165,1200.0,2579.3151933820727,5476.739516205833,3764.5090202268366
2025-02-02,57374.17676496044,4.187146117329288e-11,1.1286430123824687e-11,2454.4058729341878,1083.1063491953914,-904.2110370313635,452.10551851568175,56743.17593428073,56561.03579671295,7.275957614183426e-12,57374.17676496048,2579.3151933820727,2312.12924641028,6875.674840072294,4056.50678812801
2025-02-03,58469.731127871055,6.589990858563154e-11,1.5703549571810527e-11,5447.134512597306,505.76077512409984,-3575.3061771404377,1787.6530885702189,59751.62344131718,56513.49111425948,-7.275957614183426e-12,58469.73112787112,2312.12924641028,2187.887579137933,5326.59192178682,4248.712244352411
2025-02-04,60248.446346509045,5.665573610258434e-11,1.4202861109424703e-11,4532.2971855454425,573.8600882504611,-3173.850856731862,1586.925428365931,61261.511686624515,58470.23422205962,7.275957614183426e-12,60248.4463465091,2187.887579137933,2252.194479497309,6505.899608511831,4309.292380178649
2025-02-05,57310.030567557726,9.760211775052651,4.528050000014593,1777.9015822074334,1828.944612007646,-25.882140422347494,12.941070211173747,55494.02702576126,56687.441293344,0.0,57319.790779332776,2252.194479497309,2317.1073373834984,4791.902747747772,4342.263178068357
2025-02-06,59011.536536312036,122.98032063341223,21.0528666666856,6217.077757288842,402.5726484599569,-4255.268274139156,2127.634137069578,60736.59802492165,56749.71151642247,7.275957614183426e-12,59134.51685694545,2317.1073373834984,2239.7711989841246,5584.088264254243,4278.495390372371
2025-02-07,22894.485179737567,3.2106076464089026e-11,9.57900425646585e-12,1463.8502620905165,203.66404834961813,-769.1623558671239,384.58117793356195,23075.402309321507,22442.01598568746,7.275957614183426e-12,22894.4851797376,2239.7711989841246,1861.4052000756462,8221.062096665233,3540.9113035387077
2025-02-08,21217.326538402653,4.495571648277519e-11,1.2301271112846734e-11,789.1978985653195,1037.7032601244427,0.0,0.0,20179.62327827821,20871.425451694508,-3.637978807091713e-12,21217.326538402696,1861.4052000756462,2230.672156361889,4706.543522737479,3587.730408468104
2025-02-09,57699.74421935096,4.259255259597694e-11,1.1746603689744006e-11,1845.9253451339275,460.1945053377748,-1068.0256640184966,534.0128320092483,57773.56254602244,57012.3332188958,-1.4551915228366852e-11,57699.74421935101,2230.672156361889,1956.3780056416774,6696.586629437632,4108.923727530706
2025-02-10,52313.86115575925,4.842988499120792e-11,1.3987921931857272e-11,3394.5992393806405,579.596373044692,-1880.882416611531,940.4412083057655,52674.705991020324,51180.221156438594,-7.275957614183426e-12,52313.8611557593,1956.3780056416774,1731.7296909087206,3647.0281903774085,4173.442540985565
