date,total_fee,initial_plan_fee,increase_fee,refund,cancel_penalty,emergency_fee,emergency_kwh,unused_kwh,start_soc,end_soc,fallbacks
2025-02-01,26334.861294704708,31108.76407273167,508.79624396045153,12098.880971971856,6049.440485985928,766.7414639985163,161.29972720779918,540.8687396019708,1200.0,1863.4977420654277,1
2025-02-02,69367.97232344675,72632.70175883168,0.0,6581.1392005699045,3290.5696002849522,25.840164900042197,10.514100000009531,1.3111622898520636e-11,1863.4977420654277,2016.5753587719857,1
2025-02-03,64732.40983693801,67746.73300563646,35.1665423851166,6244.203592467303,3122.1017962336514,72.61208515009206,32.3993666666854,1593.6306854957177,2016.5753587719857,2664.787208775425,0
2025-02-04,66344.56763228614,69648.30222165454,0.0,6607.4691787369275,3303.7345893684637,7.443311778043693e-11,1.6660228752130024e-11,2201.40701191404,2664.787208775425,2177.4305472189567,0
2025-02-05,63739.81668406733,64937.527193380745,69.5378547219708,2594.217418070875,1297.1087090354374,29.860345000079874,13.875625000017916,1954.8980862594044,2177.4305472189567,2230.0390328123726,0
2025-02-06,66339.93805500508,70447.21321934403,3.7202880776021626e-12,8216.582338752281,4108.291169376141,1.0160050372271645,0.14042916893999302,2166.3579056477975,2230.0390328123726,2922.675988795683,0
2025-02-07,18109.936694886197,19075.98904147283,0.0,1932.1046931733185,966.0523465866593,3.544482529704851e-11,1.1217582418510119e-11,6270.791594855623,2922.675988795683,1943.7968336784772,0
2025-02-08,16444.276772561807,16084.07948218867,360.19729037309554,0.0,0.0,5.160086624655946e-11,1.8419488156951047e-11,3226.0255716088272,1943.7968336784772,2203.9596793439114,0
2025-02-09,63282.13771654939,65706.05906914953,0.0,4847.842705200377,2423.9213526001886,9.537216871802201e-11,2.02006467109328e-11,1786.0472933657643,2203.9596793439114,2046.5544879477154,0
2025-02-10,58017.31607793075,60503.45053551373,947.0964081687574,6866.4617315035275,3433.2308657517638,3.838934911626346e-11,1.0566492125718696e-11,745.5099159820368,2046.5544879477154,1930.293106661853,0
2025-02-11,58766.40258544694,61891.66476199392,0.0,6250.524353094075,3125.2621765470376,7.616249575459477e-11,1.846511832326314e-11,1123.2202148570154,1930.293106661853,1828.6698138334075,0
2025-02-12,58637.35028460888,61769.28784294394,0.0,6263.875116670273,3131.9375583351366,7.040049593287633e-11,1.6785628442761436e-11,1022.5014348825786,1828.6698138334075,1698.8880105089015,0
