date,interval,timestamp,purchase_kwh,adjusted_purchase_kwh,load_kwh,pv_kwh,price_yuan_per_kwh,charge_kwh,discharge_kwh,emergency_kwh,unused_kwh,soc_start_kwh,soc_end_kwh
2025-02-11,15,2025-02-11 02:30:00,624.7789916666667,624.7789916666667,638.1556833333333,0.0,0.4348,0.0,13.376691666667103,0.0,5.009326287108706e-13,9409.499827685184,9394.636836944443
2025-02-11,16,2025-02-11 02:40:00,655.7047416666667,655.7047416666667,636.7103666666667,0.0,0.4335,18.994375000000016,0.0,2.4868995751603507e-14,0.0,9394.636836944443,9411.731774444443
2025-02-11,17,2025-02-11 02:50:00,672.6033333333334,672.6033333333334,633.8066666666667,0.0,0.4357,38.79666666666607,0.0,0.0,5.542233338928781e-13,9411.731774444443,9446.648774444442
2025-02-11,18,2025-02-11 03:00:00,649.4724,649.4724,638.6626333333334,0.0,0.4374,10.809766666665785,0.0,0.0,8.473222123939195e-13,9446.648774444442,9456.377564444441
2025-02-11,19,2025-02-11 03:10:00,659.3798833333334,659.3798833333334,635.70655,0.0,0.4371,23.673333333333883,0.0,4.796163466380676e-13,0.0,9456.377564444441,9477.683564444442
2025-02-11,20,2025-02-11 03:20:00,705.5233333333334,705.5233333333334,632.4033333333333,0.0,0.4356,73.120000000001,0.0,8.810729923425242e-13,0.0,9477.683564444442,9543.491564444443
2025-02-11,21,2025-02-11 03:30:00,679.3119916666667,679.3119916666667,648.9820166666667,0.0,0.4353,30.329975000000154,0.0,1.6342482922482304e-13,0.0,9543.491564444443,9570.788541944443
2025-02-11,22,2025-02-11 03:40:00,680.1528833333364,680.1528833333364,642.10765,0.0,0.436,38.045233333335396,0.0,0.0,9.450218385609332e-13,9570.788541944443,9605.029251944445
2025-02-11,23,2025-02-11 03:50:00,692.3158333333333,692.3158333333333,616.8516666666667,0.0,0.4378,75.46416666666725,0.0,6.110667527536862e-13,0.0,9605.029251944445,9672.947001944445
2025-02-11,24,2025-02-11 04:00:00,693.68095,693.68095,624.8922,0.0,0.4401,68.7887499999993,0.0,0.0,7.531752999057062e-13,9672.947001944445,9734.856876944445
2025-02-11,25,2025-02-11 04:10:00,703.2336166666665,703.2336166666665,646.73445,0.0,0.4389,56.499166666665886,0.0,0.0,6.110667527536862e-13,9734.856876944445,9785.706126944444
2025-02-11,26,2025-02-11 04:20:00,693.12,693.12,664.4066666666666,0.0,0.4364,28.713333333333946,0.0,5.790923296444817e-13,0.0,9785.706126944444,9811.548126944444
2025-02-11,27,2025-02-11 04:30:00,697.7274583333333,697.7274583333333,677.7325999999999,0.00016666666666666666,0.4393,0.0,0.0,0.0,19.995025000000055,9811.548126944444,9811.548126944444
2025-02-11,28,2025-02-11 04:40:00,655.3797500000001,655.3797500000001,678.10865,0.0,0.4422,0.0,22.728899999999157,7.958078640513122e-13,0.0,9811.548126944444,9786.293793611112
2025-02-11,29,2025-02-11 04:50:00,619.5583333333333,619.5583333333333,665.9083333333333,0.0,0.4395,0.0,46.35,2.1316282072803006e-14,0.0,9786.293793611112,9734.793793611112
2025-02-11,30,2025-02-11 05:00:00,689.4205333333334,689.4205333333334,652.6285333333334,0.0023333333333333335,0.4333,0.0,0.0,0.0,36.794333333333384,9734.793793611112,9734.793793611112
2025-02-11,31,2025-02-11 05:10:00,723.1395833333332,723.1395833333332,648.3324,0.0,0.4439,0.0,0.0,0.0,74.80718333333323,9734.793793611112,9734.793793611112
2025-02-11,32,2025-02-11 05:20:00,1542.7883333333334,1542.7883333333334,646.41,0.0,0.4301,405.784673765431,0.0,0.0,490.5936595679024,9734.793793611112,10100.0
2025-02-11,33,2025-02-11 05:30:00,1505.44885,1505.44885,643.7508,0.0325,0.3713,777.7777777777777,0.0,0.0,83.95277222222228,10100.0,10800.0
2025-02-11,34,2025-02-11 05:40:00,730.38595,730.38595,711.1457,0.0,0.5708,0.0,0.0,0.0,19.240249999999946,10800.0,10800.0
2025-02-11,35,2025-02-11 05:50:00,314.39227624999864,314.39227624999864,827.5283333333333,0.0,0.9099,0.0,513.1360570833351,0.0,4.547473508864641e-13,10800.0,10229.848825462961
2025-02-11,36,2025-02-11 06:00:00,69.29246111111127,79.87384166666754,885.2288,0.45265,0.9368,0.0,804.9023083333323,2.2737367544323206e-13,0.0,10229.848825462961,9335.512927314814
2025-02-11,37,2025-02-11 06:10:00,834.9690361111113,834.9690361111113,874.1390333333334,0.0,0.8758,0.0,39.169997222222264,0.0,2.2737367544323206e-13,9335.512927314814,9291.990708179012
2025-02-11,38,2025-02-11 06:20:00,843.6114666666667,843.6114666666667,853.7533333333334,0.0,0.8759,0.0,10.141866666667012,0.0,2.9665159217984183e-13,9291.990708179012,9280.72196743827
2025-02-11,39,2025-02-11 06:30:00,873.7328722222222,873.7328722222222,887.7669,14.854516666666667,0.8601,0.8204888888879698,0.0,0.0,9.474643292151086e-13,9280.72196743827,9281.46040743827
2025-02-11,40,2025-02-11 06:40:00,869.9841861111112,869.9841861111112,886.2560666666667,47.38113333333334,0.8442,31.109252777777225,0.0,0.0,5.577760475716786e-13,9281.46040743827,9309.45873493827
2025-02-11,41,2025-02-11 06:50:00,782.6987666666666,782.6987666666666,847.0633333333334,93.5625,0.8334,29.19793333333372,0.0,4.654054919228656e-13,0.0,9309.45873493827,9335.73687493827
2025-02-11,42,2025-02-11 07:00:00,706.0816361111112,706.0816361111112,863.08865,143.64811666666665,0.8092,0.0,13.358897222222186,6.750155989720952e-14,0.0,9335.73687493827,9320.893655802467
2025-02-11,43,2025-02-11 07:10:00,651.8354722222223,651.8354722222223,900.88895,189.75469999999999,0.7972,0.0,59.298777777778376,0.0,5.897504706808832e-13,9320.893655802467,9255.006124938269
2025-02-11,44,2025-02-11 07:20:00,611.7532000000001,611.7532000000001,895.0566666666667,229.94375,0.7644,0.0,53.359716666667374,0.0,7.744915819785092e-13,9255.006124938269,9195.717550864194
2025-02-11,45,2025-02-11 07:30:00,1403.3951361111112,1403.3951361111112,839.0225666666666,269.62076666666667,0.6899,833.3333333333333,0.0,0.0,0.6600027777780042,9195.717550864194,9945.717550864194
2025-02-11,46,2025-02-11 07:40:00,653.5819722222224,653.5819722222224,943.4882166666666,321.2078666666667,0.86,31.301622222221745,0.0,0.0,7.318590178329032e-13,9945.717550864194,9973.889010864194
2025-02-11,47,2025-02-11 07:50:00,0.0,19.52585000000022,1154.285,382.5,1.1617,0.0,752.2591499999992,6.821210263296962e-13,0.0,9973.889010864194,9138.045510864195
2025-02-11,48,2025-02-11 08:00:00,0.0,0.0,1194.4817500000001,439.23988333333335,1.1683,0.0,755.2418666666669,0.0,1.1368683772161603e-13,9138.045510864195,8298.887881234565
2025-02-11,49,2025-02-11 08:10:00,0.0,0.0,1167.50055,493.72603333333336,1.0956,0.0,673.7745166666663,3.410605131648481e-13,0.0,8298.887881234565,7550.249529382713
2025-02-11,50,2025-02-11 08:20:00,0.0,0.0,1154.7116666666668,540.6875,1.0849,0.0,614.0241666666667,1.1368683772161603e-13,0.0,7550.249529382713,6868.000455308639
2025-02-11,51,2025-02-11 08:30:00,0.0,0.0,1131.9424000000001,571.9331833333333,1.061,0.0,560.0092166666667,1.1368683772161603e-13,0.0,6868.000455308639,6245.767992345676
2025-02-11,52,2025-02-11 08:40:00,0.0,0.0,1133.3505,613.776,1.043,0.0,519.5745000000003,0.0,2.2737367544323206e-13,6245.767992345676,5668.462992345676
2025-02-11,53,2025-02-11 08:50:00,0.0,0.0,1161.5016666666668,670.1999999999999,1.036,0.0,491.30166666666645,3.979039320256561e-13,0.0,5668.462992345676,5122.572251604935
2025-02-11,54,2025-02-11 09:00:00,0.0,0.0,1177.4988666666666,718.9774333333334,1.0147,0.0,458.52143333333305,1.7053025658242404e-13,0.0,5122.572251604935,4613.1039923456765
2025-02-11,55,2025-02-11 09:10:00,0.0,0.0,1167.7255333333333,757.9748166666667,0.9922,0.0,409.7507166666664,1.7053025658242404e-13,0.0,4613.1039923456765,4157.825418271603
2025-02-11,56,2025-02-11 09:20:00,0.0,0.0,1151.0983333333334,804.05625,0.97,0.0,347.0420833333332,1.7053025658242404e-13,0.0,4157.825418271603,3772.223103456788
2025-02-11,57,2025-02-11 09:30:00,0.0,0.0,1155.9647333333335,871.3607333333333,0.9422,0.0,284.6040000000002,0.0,5.684341886080802e-14,3772.223103456788,3455.996436790121
2025-02-11,58,2025-02-11 09:40:00,0.0,0.0,1147.8752166666666,911.6643166666667,0.9569,0.0,236.21089999999995,0.0,2.842170943040401e-14,3455.996436790121,3193.5398812345657
2025-02-11,59,2025-02-11 09:50:00,0.0,0.0,1127.4666666666667,930.7687500000001,0.9977,0.0,196.6979166666668,0.0,1.7053025658242404e-13,3193.5398812345657,2974.986640493825
2025-02-11,60,2025-02-11 10:00:00,0.0,0.0,1131.4463666666668,978.5590833333334,0.9919,0.0,152.88728333333353,0.0,1.7053025658242404e-13,2974.986640493825,2805.1118812345653
2025-02-11,61,2025-02-11 10:10:00,0.0,0.0,1137.6555666666666,1006.0191,0.9588,0.0,131.63646666666673,0.0,1.4210854715202004e-13,2805.1118812345653,2658.8491404938245
2025-02-11,62,2025-02-11 10:20:00,0.0,0.0,1134.2316666666668,1025.78125,0.9549,0.0,108.45041666666667,1.2789769243681803e-13,0.0,2658.8491404938245,2538.3486775308616
2025-02-11,63,2025-02-11 10:30:00,0.0,0.0,1131.9606166666667,1099.9006166666666,0.9839,0.0,32.06000000000004,1.3500311979441904e-13,0.0,2538.3486775308616,2502.7264553086393
2025-02-11,64,2025-02-11 10:40:00,43.1932888888889,43.1932888888889,1130.0614,1144.0804,0.799,57.2122888888887,0.0,0.0,2.0605739337042905e-13,2502.7264553086393,2554.217515308639
2025-02-11,65,2025-02-11 10:50:00,749.9940252743507,749.9940252743507,1127.6433333333332,1139.3062499999999,0.5025,761.6569419410174,0.0,1.1368683772161603e-13,0.0,2554.217515308639,3239.7087630555548
2025-02-11,66,2025-02-11 11:00:00,835.475161111111,817.783052777778,1124.3298666666667,1149.4656666666667,0.4662,833.3333333333333,0.0,0.0,9.585519444444799,3239.7087630555548,3989.7087630555548
2025-02-11,67,2025-02-11 11:10:00,825.9507222222223,825.9507222222223,1110.6014166666666,1159.6445,0.5007,833.3333333333328,0.0,0.0,41.66047222222301,3989.7087630555548,4739.708763055554
2025-02-11,68,2025-02-11 11:20:00,809.9281166666665,809.9281166666665,1098.5633333333333,1154.6312500000001,0.4827,833.3333333333333,0.0,0.0,32.662700000000086,4739.708763055554,5489.708763055554
2025-02-11,69,2025-02-11 11:30:00,767.2841527777778,767.2841527777778,1109.6848499999999,1144.0975166666667,0.4785,801.6968194444446,0.0,0.0,0.0,5489.708763055554,6211.2359005555545
2025-02-11,70,2025-02-11 11:40:00,724.7314722222218,724.7314722222218,1108.5717666666667,1153.2011,0.4662,769.3608055555553,0.0,2.2737367544323206e-13,0.0,6211.2359005555545,6903.660625555554
2025-02-11,71,2025-02-11 11:50:00,704.4387166666661,704.4387166666661,1078.535,1167.2124999999999,0.4432,793.1162166666662,0.0,3.410605131648481e-13,0.0,6903.660625555554,7617.465220555554
2025-02-11,72,2025-02-11 12:00:00,751.524883333333,743.7376666666664,1042.14405,1149.2664833333333,0.4411,833.3333333333333,0.0,0.0,17.52676666666639,7617.465220555554,8367.465220555554
2025-02-11,73,2025-02-11 12:10:00,785.36255,766.4202250000003,1043.2970333333333,1145.3656666666668,0.4551,833.3333333333333,0.0,0.0,35.15552500000058,8367.465220555554,9117.465220555554
2025-02-11,74,2025-02-11 12:20:00,824.2909999999997,739.0178749999998,1063.305,1160.7749999999999,0.4463,833.3333333333333,0.0,0.0,3.1545416666663186,9117.465220555554,9867.465220555554
2025-02-11,75,2025-02-11 12:30:00,815.263158333333,703.4055666666666,1046.62295,1155.1956166666666,0.4113,811.9782333333326,0.0,0.0,6.821210263296962e-13,9867.465220555554,10598.245630555553
2025-02-11,76,2025-02-11 12:40:00,84.19838888888899,84.19838888888899,1056.4675333333332,1151.8869333333334,0.5682,179.61778888888955,0.0,3.410605131648481e-13,0.0,10598.245630555553,10759.901640555554
2025-02-11,77,2025-02-11 12:50:00,142.72126666666702,0.0,1094.76,1147.04375,0.8279,44.553732716051144,0.0,0.0,7.730017283948911,10759.901640555554,10800.0
2025-02-11,78,2025-02-11 13:00:00,221.27497500000015,0.0,1089.6931,1109.8751333333332,0.8636,0.0,0.0,0.0,20.182033333333266,10800.0,10800.0
2025-02-11,79,2025-02-11 13:10:00,260.148425,0.0,1042.8855666666666,1074.44225,0.8416,0.0,0.0,0.0,31.556683333333467,10800.0,10800.0
2025-02-11,80,2025-02-11 13:20:00,285.38598333333334,0.0,1007.7966666666666,1051.8125,0.8618,0.0,0.0,0.0,44.015833333333376,10800.0,10800.0
2025-02-11,81,2025-02-11 13:30:00,322.3847583333336,0.0,1037.8496833333334,1023.8080666666666,0.8623,0.0,14.041616666666414,3.410605131648481e-13,0.0,10800.0,10784.398203703704
2025-02-11,82,2025-02-11 13:40:00,253.56652222222203,0.0,1060.3122166666667,1012.0489166666666,0.9026,0.0,48.26330000000071,0.0,6.394884621840902e-13,10784.398203703704,10730.772314814814
2025-02-11,83,2025-02-11 13:50:00,0.0,0.0,1059.1183333333333,1003.80625,0.9754,0.0,55.31208333333307,2.913225216616411e-13,0.0,10730.772314814814,10669.314444444444
2025-02-11,84,2025-02-11 14:00:00,0.0,0.0,1083.39545,958.7878833333333,1.0002,0.0,124.60756666666748,0.0,7.958078640513122e-13,10669.314444444444,10530.861592592591
2025-02-11,85,2025-02-11 14:10:00,0.0,0.0,1091.1159833333334,904.0671833333334,0.9978,0.0,187.0488000000003,0.0,3.979039320256561e-13,10530.861592592591,10323.029592592591
2025-02-11,86,2025-02-11 14:20:00,0.0,0.0,1069.2749999999999,854.0625,1.0271,0.0,215.2125,0.0,1.4210854715202004e-13,10323.029592592591,10083.904592592591
