date,plan_fee_yuan,emergency_fee_yuan,emergency_kwh,adjustment_abs_kwh,increase_fee_yuan,refund_yuan,decrease_penalty_yuan,base_plan_fee_yuan,final_contract_fee_yuan,bill_identity_error_yuan,total_fee_yuan,start_soc_kwh,end_soc_kwh,unused_kwh,conversion_loss_kwh
2025-02-01,23183.311028824995,5.11623359233937e-11,1.5091483618334678e-11,3213.3950999262324,0.0,-1931.8513934711664,965.9256967355832,24149.23672556058,22217.385332089412,0.0,23183.311028825046,1200.0,2379.316261554797,2945.406157705614,3774.5706171724396
2025-02-02,55852.14871061978,3.8177834740804605e-11,1.0817388651496174e-11,4659.616401162682,447.426207446384,-2541.842702628604,1270.921351314302,56675.643854487695,54432.08529015668,0.0,55852.14871061982,2379.316261554797,2159.214987172983,3480.2449294165212,4133.777119125392
2025-02-03,57356.51741565651,7.763618836698072e-11,1.912137115311907e-11,6898.1373958867025,200.93227404846164,-4692.124459767622,2346.062229883811,59501.647371491854,54943.477761089875,7.275957614183426e-12,57356.51741565659,2159.214987172983,1984.1085720558876,2939.7481844908307,4329.751862984882
2025-02-04,58382.342384565025,7.182502503866316e-11,1.7556289755304988e-11,7055.77332933457,34.05659538424392,-5023.765816186431,2511.8829080932155,60860.16869727399,55859.107278010386,7.275957614183426e-12,58382.3423845651,1984.1085720558876,1992.6343238508173,2346.15337671426,4370.915666245315
2025-02-05,56163.78449281512,99.71097492843909,17.166389761294067,1520.3628557184015,794.3721556848468,-497.88800637129805,248.94400318564902,55618.35634031592,55650.04977106786,-7.275957614183426e-12,56263.49546774355,1992.6343238508173,2226.416707670339,3381.3160103404816,4485.9919863666155
2025-02-06,57817.615533061544,287.02971503044733,49.29585442549575,8072.276044862122,172.95826984954675,-5624.319146684506,2812.159573342253,60456.81683655426,54947.80320310278,-7.275957614183426e-12,58104.64524809199,2226.416707670339,2138.440140561289,2709.4730498086583,4384.09777877097
2025-02-07,22005.4023217068,4.8746715330949544e-11,1.4598433573098646e-11,2171.172782537545,0.0,-1270.8671291984883,635.4335645992442,22640.835886306046,21369.968757107556,0.0,22005.402321706846,2138.440140561289,1692.0219504330653,6286.105405287363,3615.5108467352375
2025-02-08,20559.153963207253,4.906335782095538e-11,1.4312107055047818e-11,743.8349757477141,942.8945956744722,-66.85215180506535,33.42607590253267,19649.685443435315,20211.42968874656,3.637978807091713e-12,20559.1539632073,1692.0219504330653,2055.7658086360384,3215.8658408534257,3608.7196720065112
2025-02-09,56535.84967036106,5.989034956854767e-11,1.6511236822225328e-11,3718.538693247122,97.40597715696651,-2361.5497523282393,1180.7748761641196,57619.21856936821,55322.606135144626,-7.275957614183426e-12,56535.849670361116,2055.7658086360384,2006.8656492294006,3266.3004119911225,4146.046676668176
2025-02-10,51272.13187013363,4.641113093839522e-11,1.396749382820417e-11,4451.475764941825,324.8810696385216,-2760.0992184934075,1380.0496092467038,52327.30040974181,49783.78857100742,0.0,51272.13187013367,2006.8656492294006,1689.8174779537926,1455.3299059792134,4259.987540977174
