date,evaluation,start_soc_kwh,end_soc_kwh,solver_status,planner_fallback,solver_gap,solver_objective,terminal_penalty_yuan,solve_seconds,purchase_kwh,charge_kwh,discharge_kwh,emergency_kwh,unused_kwh,plan_cost_yuan,emergency_cost_yuan,dispatch_fallback,total_cost_yuan
2025-01-01,False,6000.0,6000.0,cold_start_no_history,False,,,0.0,0.0,0.0,0.0,0.0,92035.17001666667,0.0,0.0,366613.56615685835,0,366613.56615685835
2025-01-02,False,6000.0,1200.0,Optimal,False,0.0,61541.39571651284,1980.2666666666667,0.039757999998982996,91520.10686172839,19925.032361728398,20459.276213000005,1766.0199536666646,935.1313999999943,59561.12904984617,7160.447421415655,0,66721.57647126183
2025-01-03,False,1200.0,4867.593796296298,Optimal,False,5.583278120737547e-05,64573.326076419995,1980.2666666666667,0.01945809999597259,97603.5726,13629.196995884771,7738.815149999999,0.0,46208.24938744856,62593.05940975333,0.0,0,62593.05940975333
2025-01-04,False,4867.593796296298,1200.0,Optimal,False,0.0,26164.602983910412,1980.2666666666667,0.03737389999150764,45491.92429794238,16478.678884567897,16648.564313166666,1368.0263034999991,2264.233663374486,24184.336317243746,5404.315268431829,0,29588.651585675576
2025-01-05,False,1200.0,1200.0,Optimal,False,0.0,27695.45713597932,1980.2666666666667,0.03706360000069253,48829.22963415638,11656.083866666664,9441.427932,44421.13660051029,0.0,25715.190469312653,212570.1553197628,0,238285.34578907545
2025-01-06,False,1200.0,1200.0,Optimal,False,0.0,63321.4434084373,1980.2666666666667,0.019840400011162274,95844.12025637859,24916.363333333335,20182.2543,1253.0749333333354,1730.6050563785989,61341.176741770636,5006.205680558341,0,66347.38242232897
2025-01-07,False,1200.0,1200.0,Optimal,False,7.980252390840734e-06,63009.24524368833,1980.2666666666667,0.019698200005223043,95350.81443333333,22993.771041769545,18624.954543833333,3110.5696728333314,1525.6666582304515,61028.97857702167,14382.522273421244,0,75411.50085044291
2025-01-08,False,1200.0,1224.7332777777779,Optimal,False,0.0,64622.81044182384,1980.2666666666667,0.02010770000924822,97764.30368847736,25024.35409218107,20247.466864666665,997.9254353333371,4459.3405796296265,62642.54377515718,3251.9947352378517,0,65894.53851039504
2025-01-09,False,1224.7332777777779,1200.0,Optimal,False,4.389583255399567e-05,63139.29284958611,1980.2666666666667,0.019987099993159063,95177.98776358024,23569.869244444446,19113.854038,1796.2836619999982,1426.700102469132,61159.02618291944,7882.070968831161,0,69041.0971517506
2025-01-10,False,1200.0,1200.0,Optimal,False,0.0,28101.61124717173,1980.2666666666667,0.03539100001216866,50000.29761069959,21126.218168724277,17112.236716666666,865.9271833333286,1361.576625308645,26121.344580505065,3418.2002313249754,0,29539.54481183004
2025-01-11,False,1200.0,1200.0,Optimal,False,0.0,28144.664924350305,1980.2666666666667,0.03593369999725837,49908.00250720164,20892.342274485592,16922.797242333334,992.5997576666676,2065.1706160493845,26164.39825768364,3914.2140362727546,0,30078.612293956394
2025-01-12,False,1200.0,1200.0,Optimal,False,1.1479044381148193e-16,63384.697999186996,1980.2666666666667,0.019405000013648532,95795.18913662551,24479.914185802463,19828.730490500002,1163.8982261666642,1442.015267489717,61404.43133252033,4964.298725076159,0,66368.73005759649
2025-01-13,False,1200.0,1200.0,Optimal,False,0.0,63287.42712501815,1980.2666666666667,0.01984890000312589,95959.76286481481,24148.188641975306,19560.0328,843.940149999999,3941.5902061728393,61307.16045835148,2673.9947359749967,0,63981.15519432648
2025-01-14,False,1200.0,1200.0,Optimal,False,1.7972285312939476e-05,60975.63197424333,1980.2666666666667,0.019980600001872517,92939.39266666667,24769.428576337446,20063.237146833333,2091.334419833335,1044.2227236625506,58995.36530757666,8401.677552306423,0,67397.04285988309
2025-01-15,False,1200.0,1200.0,Optimal,False,0.0,61545.624849094565,1980.2666666666667,0.019417999996221624,93619.80734567902,24622.619199382712,19944.3215515,2355.707548500001,1226.874312962966,59565.3581824279,10770.054094131836,0,70335.41227655974
2025-01-16,False,1200.0,1200.0,Optimal,False,0.0,62631.13894055589,1980.2666666666667,0.019103400001768023,94968.4211755144,24488.057931069958,19835.326924166668,1590.9262091666649,2832.464927777779,60650.87227388922,6579.355669219992,0,67230.2279431092
2025-01-17,False,1200.0,1200.0,Optimal,False,0.0,27102.52392203167,1980.2666666666667,0.034941499994602054,47806.35901666667,19605.75331522633,15880.660185333332,1076.159181333332,2468.3116014403317,25122.257255365002,3824.668008670326,0,28946.92526403533
2025-01-18,False,1200.0,1200.0,Optimal,False,0.0,26698.273217084443,1980.2666666666667,0.03483800000685733,47371.07335617284,20447.116440329217,16562.164316666665,719.9712999999998,963.5835158436198,24718.006550417776,2401.4336044166653,0,27119.440154834443
2025-01-19,False,1200.0,1200.0,Optimal,False,0.0,61080.163393538336,1980.2666666666667,0.019776000001002103,93272.11181666667,24704.072570576132,20010.298782166665,1941.5347011666668,1836.733262757201,59099.896726871666,8660.362365240173,0,67760.25909211184
2025-01-20,False,1200.0,1200.0,Optimal,False,2.343149078297499e-16,62104.094712318,1980.2666666666667,0.01980010000988841,94269.49704670781,24690.291628806586,19999.136219333333,1089.444347333335,2600.7094345678984,60123.82804565134,5153.47585741943,0,65277.303903070766
2025-01-21,False,1200.0,1356.0264629629646,Optimal,False,2.2182735040135683e-05,61449.71449719833,1980.2666666666667,0.019409800006542355,93329.23435,22736.908074485596,18276.47172366667,555.021809666667,5947.9151255144025,59469.447830531666,2056.8021885370017,0,61526.25001906867
